Sell 6820  BKNWA @ 99.75 #+15145557054  
Buy 10700  BKNWA @ 93.5 #+15145550757   
Sell 10690  BKNWA @ 93.51 #+15145553476 
Buy 11160  BKNWA @ 93.04 #+15145554911  
Buy 13470  BKNWA @ 92.22 #+15145553516  
Buy 12610  BKNWA @ 92.05 #+15145555393  
Buy 12360  BKNWA @ 91.64 #+15145550475  
Buy 14030  BKNWA @ 91.55 #+15145559390  
Sell 12040  BKNWA @ 91.94 #+15145550685 
Sell 14940  BKNWA @ 91.62 #+15145559937 
Buy 14030  BKNWA @ 91.82 #+15145552748  
Buy 15430  BKNWA @ 92.35 #+15145559749  
Sell 26330  BKNWA @ 91.63 #+15145557094 
Buy 8410  BKNWA @ 92.12 #+15145550171   
Sell 16330  BKNWA @ 92.59 #+15145557783 
Buy 8550  BKNWA @ 92.47 #+15145557577   
Buy 9670  BKNWA @ 92.02 #+15145554860   
Buy 8150  BKNWA @ 91.54 #+15145555729   
Sell 14630  BKNWA @ 92.02 #+15145550164 
Sell 15320  BKNWA @ 91.37 #+15145555458 
Buy 11320  BKNWA @ 92.61 #+15145556283  
Buy 12920  BKNWA @ 92.62 #+15145557807  
Sell 8110  BKNWA @ 92.44 #+15145555351  
Sell 12410  BKNWA @ 92.71 #+15145556591 
Sell 11880  BKNWA @ 93.25 #+15145558701 
Buy 10850  BKNWA @ 92.34 #+15145550779  
Sell 5830  BKNWA @ 92.31 #+15145554644  
Sell 15260  BKNWA @ 92.79 #+15145556509 
Buy 23070  BKNWA @ 93.68 #+15145555560  
Sell 22260  BKNWA @ 92.79 #+15145559234 
Buy 15580  BKNWA @ 93.23 #+15145553273  
Buy 8930  BKNWA @ 91.91 #+15145556237   
Sell 12440  BKNWA @ 91.46 #+15145556095 
Sell 13160  BKNWA @ 91.11 #+15145556247 
Buy 17480  BKNWA @ 90.88 #+15145554571  
Sell 4150  BKNWA @ 92.07 #+15145551028  
Buy 8970  BKNWA @ 91.84 #+15145556335   
Buy 15380  BKNWA @ 91.94 #+15145551091  
Sell 15460  BKNWA @ 92.1 #+15145556637  
Sell 18240  BKNWA @ 92.63 #+15145558140 
Buy 11630  BKNWA @ 92.36 #+15145555351  
Buy 9900  BKNWA @ 93.08 #+15145556558   
Sell 13780  BKNWA @ 93.06 #+15145550300 
Sell 15030  BKNWA @ 93.81 #+15145558565 
Sell 9950  BKNWA @ 92.76 #+15145558748  
Sell 12230  BKNWA @ 92.24 #+15145559657 
Buy 7430  BKNWA @ 92.41 #+15145557439   
Buy 17320  BKNWA @ 91.22 #+15145558961  
Sell 14210  BKNWA @ 90.33 #+15145553517 
Buy 13080  BKNWA @ 90.06 #+15145557772  
Buy 15830  BKNWA @ 91.26 #+15145555680  
Sell 14710  BKNWA @ 91.85 #+15145554366 
Sell 11650  BKNWA @ 92.22 #+15145558918 
Sell 13300  BKNWA @ 92.62 #+15145552902 
Buy 13030  BKNWA @ 92.28 #+15145553653  
Sell 7910  BKNWA @ 92.55 #+15145556924  
Buy 7970  BKNWA @ 92.39 #+15145551311   
Buy 13830  BKNWA @ 91.69 #+15145553365  
Buy 12330  BKNWA @ 91.82 #+15145557178  
Sell 18870  BKNWA @ 91.86 #+15145551226 
Sell 15740  BKNWA @ 91.74 #+15145557784 
Buy 19560  BKNWA @ 90.63 #+15145551900  
Sell 14340  BKNWA @ 90.71 #+15145558934 
Sell 15580  BKNWA @ 91.64 #+15145555000 
Sell 17490  BKNWA @ 92.83 #+15145553827 
Buy 8980  BKNWA @ 92.38 #+15145550183   
Sell 17010  BKNWA @ 91.82 #+15145554637 
Buy 12630  BKNWA @ 91.17 #+15145553158  
Buy 11970  BKNWA @ 91.28 #+15145552289  
Buy 7150  BKNWA @ 90.59 #+15145551951   
Buy 4190  BKNWA @ 90.07 #+15145550954   
Buy 11360  BKNWA @ 91.33 #+15145559607  
Sell 13130  BKNWA @ 91.21 #+15145554067 
Buy 7350  BKNWA @ 91.05 #+15145556812   
Buy 16220  BKNWA @ 90.34 #+15145553075  
Buy 10450  BKNWA @ 89.53 #+15145555837  
Sell 3330  BKNWA @ 90.84 #+15145553821  
Buy 7490  BKNWA @ 91.34 #+15145553582   
Sell 6230  BKNWA @ 91.12 #+15145553040  
Sell 16500  BKNWA @ 91.34 #+15145556979 
Sell 18650  BKNWA @ 91.94 #+15145553714 
Buy 11150  BKNWA @ 91.55 #+15145552125  
Sell 10260  BKNWA @ 91.61 #+15145554978 
Buy 5340  BKNWA @ 92.83 #+15145551735   
Buy 8900  BKNWA @ 93.22 #+15145551636   
Buy 8110  BKNWA @ 93.36 #+15145550347   
Buy 6630  BKNWA @ 93 #+15145556650      
Sell 10640  BKNWA @ 93.23 #+15145551734 
Sell 12890  BKNWA @ 93.12 #+15145550346 
Buy 13300  BKNWA @ 93.09 #+15145558619  
Buy 14270  BKNWA @ 93.43 #+15145555556  
Buy 8480  BKNWA @ 93.58 #+15145550428   
Buy 8950  BKNWA @ 92.67 #+15145557793   
Buy 8340  BKNWA @ 92.71 #+15145553402   
Buy 14320  BKNWA @ 92.28 #+15145550145  
Sell 15540  BKNWA @ 92.32 #+15145559238 
Sell 17200  BKNWA @ 92.58 #+15145551043 
Buy 12340  BKNWA @ 93.12 #+15145559355  
Sell 8510  BKNWA @ 93.59 #+15145558253  
Sell 7650  BKNWA @ 93.97 #+15145555947  
Buy 10970  BKNWA @ 94.58 #+15145550246  
Buy 14910  BKNWA @ 95.44 #+15145554592  
Sell 11580  BKNWA @ 96.29 #+15145559218 
Buy 8170  BKNWA @ 96.08 #+15145557854   
Buy 9660  BKNWA @ 96.36 #+15145557717   
Sell 15180  BKNWA @ 96.98 #+15145559461 
Sell 17640  BKNWA @ 97.4 #+15145552454  
Sell 8860  BKNWA @ 97.35 #+15145559156  
Buy 13690  BKNWA @ 97.05 #+15145556307  
Buy 11820  BKNWA @ 97.05 #+15145559386  
Sell 6540  BKNWA @ 96.92 #+15145557056  
Buy 12980  BKNWA @ 96.92 #+15145554279  
Sell 9750  BKNWA @ 96.34 #+15145555399  
Buy 16830  BKNWA @ 96.68 #+15145550410  
Sell 17690  BKNWA @ 95.9 #+15145553295  
Sell 12450  BKNWA @ 96.46 #+15145551045 
Sell 14600  BKNWA @ 96.15 #+15145550926 
Sell 18860  BKNWA @ 95.89 #+15145558535 
Sell 20510  BKNWA @ 96.56 #+15145557984 
Sell 17900  BKNWA @ 95.85 #+15145553423 
Buy 5550  BKNWA @ 96.32 #+15145557157   
Buy 14090  BKNWA @ 95.82 #+15145550906  
Sell 10280  BKNWA @ 95.99 #+15145551139 
Sell 14420  BKNWA @ 96.38 #+15145557106 
Buy 8770  BKNWA @ 95.8 #+15145551217    
Buy 11930  BKNWA @ 95.16 #+15145554055  
Buy 8490  BKNWA @ 96.34 #+15145550238   
Buy 12790  BKNWA @ 96.86 #+15145556523  
Sell 6710  BKNWA @ 95.85 #+15145557872  
Buy 13640  BKNWA @ 96.19 #+15145553510  
Sell 9530  BKNWA @ 95.85 #+15145557928  
Sell 5280  BKNWA @ 95.13 #+15145556189  
Sell 11110  BKNWA @ 96.01 #+15145557449 
Sell 6630  BKNWA @ 96.1 #+15145556989   
Sell 12210  BKNWA @ 95.14 #+15145550582 
Buy 8150  BKNWA @ 94.2 #+15145555690    
Buy 13030  BKNWA @ 93.68 #+15145550269  
Sell 12280  BKNWA @ 94.32 #+15145552924 
Buy 5060  BKNWA @ 93.99 #+15145553852   
Buy 16290  BKNWA @ 93.15 #+15145550401  
Sell 10420  BKNWA @ 92.94 #+15145555892 
Sell 4950  BKNWA @ 92.91 #+15145550957  
Buy 13120  BKNWA @ 92.58 #+15145550083  
Buy 10900  BKNWA @ 92.88 #+15145551664  
Buy 12270  BKNWA @ 92.19 #+15145555884  
Sell 5260  BKNWA @ 91.86 #+15145558360  
Buy 13550  BKNWA @ 91.64 #+15145550243  
Buy 9900  BKNWA @ 91.75 #+15145551457   
Buy 9130  BKNWA @ 91.12 #+15145559852   
Buy 10180  BKNWA @ 90.82 #+15145554001  
Buy 10030  BKNWA @ 90.98 #+15145551785  
Sell 9050  BKNWA @ 90.5 #+15145556332   
Buy 10340  BKNWA @ 90.41 #+15145556378  
Buy 9450  BKNWA @ 90.73 #+15145558966   
Sell 13510  BKNWA @ 91.32 #+15145559316 
Sell 18820  BKNWA @ 91.69 #+15145557767 
Sell 5310  BKNWA @ 90.98 #+15145557682  
Buy 13670  BKNWA @ 91.48 #+15145552749  
Buy 15310  BKNWA @ 91.31 #+15145553047  
Buy 8220  BKNWA @ 91.68 #+15145555179   
Sell 9540  BKNWA @ 90.14 #+15145553205  
Sell 10720  BKNWA @ 89.63 #+15145554555 
Sell 6610  BKNWA @ 89.41 #+15145559179  
Buy 16340  BKNWA @ 88.66 #+15145551789  
Buy 9440  BKNWA @ 88.9 #+15145551761    
Sell 16290  BKNWA @ 89.14 #+15145553982 
Buy 18620  BKNWA @ 89.68 #+15145552040  
Sell 11160  BKNWA @ 88.71 #+15145556117 
Sell 11450  BKNWA @ 88.76 #+15145552087 
Buy 10350  BKNWA @ 89.94 #+15145552787  
Buy 9640  BKNWA @ 90.1 #+15145556042    
Buy 17300  BKNWA @ 89.23 #+15145551874  
Sell 13100  BKNWA @ 89.45 #+15145557124 
Sell 15570  BKNWA @ 91.01 #+15145558906 
Sell 21030  BKNWA @ 90.85 #+15145553510 
Sell 21330  BKNWA @ 91.28 #+15145556158 
Sell 34050  BKNWA @ 91.99 #+15145558656 
Sell 20640  BKNWA @ 91.8 #+15145550963  
Sell 21310  BKNWA @ 91.03 #+15145558670 
Sell 24680  BKNWA @ 91.3 #+15145554359  
Buy 23100  BKNWA @ 90.62 #+15145553878  
Sell 9230  BKNWA @ 90.98 #+15145557466  
Buy 19840  BKNWA @ 90.97 #+15145556177  
Buy 11830  BKNWA @ 90.88 #+15145550635  
Sell 31040  BKNWA @ 90.47 #+15145555292 
Buy 19740  BKNWA @ 90.72 #+15145550350  
Sell 14630  BKNWA @ 90.57 #+15145551458 
Buy 12450  BKNWA @ 90.89 #+15145551595  
Sell 17120  BKNWA @ 90.66 #+15145557518 
Sell 12920  BKNWA @ 90.52 #+15145556657 
Buy 16880  BKNWA @ 88.9 #+15145550266   
Buy 21830  BKNWA @ 88.67 #+15145559852  
Sell 18650  BKNWA @ 88.16 #+15145555645 
Buy 12300  BKNWA @ 88.94 #+15145557197  
Buy 10430  BKNWA @ 88.69 #+15145556228  
Sell 14370  BKNWA @ 88.3 #+15145558477  
Sell 17240  BKNWA @ 88.82 #+15145559822 
Sell 10150  BKNWA @ 89.32 #+15145557530 
Buy 13960  BKNWA @ 88.96 #+15145558456  
Sell 22370  BKNWA @ 88.03 #+15145554641 
Buy 12410  BKNWA @ 87.75 #+15145558787  
Buy 21560  BKNWA @ 86.76 #+15145559369  
Sell 28060  BKNWA @ 85.53 #+15145553142 
Sell 23600  BKNWA @ 85.23 #+15145557082 
Sell 13660  BKNWA @ 85.16 #+15145556418 
Sell 13520  BKNWA @ 85.09 #+15145552809 
Sell 22430  BKNWA @ 84.63 #+15145551046 
Buy 32840  BKNWA @ 84.25 #+15145556325  
Buy 19050  BKNWA @ 84.54 #+15145551240  
Buy 27940  BKNWA @ 84.05 #+15145557075  
Sell 37120  BKNWA @ 83.65 #+15145551927 
Sell 19410  BKNWA @ 84.41 #+15145555290 
Buy 19070  BKNWA @ 84.2 #+15145551507   
Sell 19200  BKNWA @ 84.87 #+15145553301 
Sell 17210  BKNWA @ 84.26 #+15145551460 
Sell 26610  BKNWA @ 84.45 #+15145556046 
Buy 20020  BKNWA @ 84.07 #+15145550054  
Buy 23660  BKNWA @ 83.83 #+15145559444  
Sell 30810  BKNWA @ 83.94 #+15145555086 
Sell 15970  BKNWA @ 83.27 #+15145555298 
Sell 13290  BKNWA @ 84.54 #+15145554411 
Sell 22550  BKNWA @ 84.5 #+15145555067  
Sell 26550  BKNWA @ 84.49 #+15145554148 
Buy 36380  BKNWA @ 84.13 #+15145553448  
Sell 22970  BKNWA @ 84.07 #+15145555028 
Sell 17690  BKNWA @ 83.5 #+15145552825  
Buy 33970  BKNWA @ 83.15 #+15145552077  
Sell 43520  BKNWA @ 83.53 #+15145550029 
Sell 23490  BKNWA @ 83.62 #+15145550034 
Buy 30310  BKNWA @ 82.8 #+15145554059   
Buy 42200  BKNWA @ 82.74 #+15145559879  
Buy 30460  BKNWA @ 82.77 #+15145553543  
Sell 33910  BKNWA @ 82.57 #+15145551987 
Buy 32890  BKNWA @ 82.22 #+15145558548  
Sell 19260  BKNWA @ 81.8 #+15145550425  
Sell 19860  BKNWA @ 82.38 #+15145554963 
Sell 16480  BKNWA @ 82.33 #+15145554890 
Sell 15640  BKNWA @ 82.52 #+15145559923 
Sell 11940  BKNWA @ 81.91 #+15145553325 
Sell 19720  BKNWA @ 81.45 #+15145555135 
Sell 25760  BKNWA @ 81.02 #+15145557309 
Buy 21380  BKNWA @ 80.76 #+15145554396  
Sell 14840  BKNWA @ 79.89 #+15145558835 
Sell 17930  BKNWA @ 78.46 #+15145551135 
Buy 19600  BKNWA @ 78.48 #+15145557829  
Sell 21680  BKNWA @ 78.48 #+15145556952 
Buy 31170  BKNWA @ 78.07 #+15145554704  
Buy 28360  BKNWA @ 78.06 #+15145550667  
Buy 22690  BKNWA @ 78.53 #+15145552882  
Buy 36380  BKNWA @ 78.28 #+15145552035  
Sell 22770  BKNWA @ 78.88 #+15145555831 
Buy 25830  BKNWA @ 78.82 #+15145551532  
Buy 32230  BKNWA @ 78.46 #+15145551337  
Buy 22750  BKNWA @ 78.43 #+15145556883  
Sell 16770  BKNWA @ 77.57 #+15145552476 
Buy 21630  BKNWA @ 77.6 #+15145554004   
Sell 29440  BKNWA @ 77.99 #+15145559130 
Buy 18940  BKNWA @ 78.6 #+15145556123   
Sell 12530  BKNWA @ 78.76 #+15145554663 
Sell 11860  BKNWA @ 77.78 #+15145559595 
Buy 14000  BKNWA @ 78.49 #+15145559848  
Buy 20200  BKNWA @ 78.43 #+15145555328  
Buy 22870  BKNWA @ 78.63 #+15145552232  
Sell 15290  BKNWA @ 78.2 #+15145557869  
Buy 20180  BKNWA @ 77.64 #+15145553532  
Buy 23440  BKNWA @ 76.65 #+15145556608  
Sell 18000  BKNWA @ 76.53 #+15145550847 
Buy 20910  BKNWA @ 76.27 #+15145550600  
Sell 17710  BKNWA @ 76.27 #+15145552940 
Buy 26830  BKNWA @ 75.38 #+15145551582  
Buy 34730  BKNWA @ 75.43 #+15145551897  
Buy 17110  BKNWA @ 75.38 #+15145550154  
Sell 22230  BKNWA @ 74.38 #+15145554575 
Sell 32190  BKNWA @ 74.39 #+15145556265 
Buy 41090  BKNWA @ 74.31 #+15145559286  
Sell 15970  BKNWA @ 74.34 #+15145553277 
Sell 19590  BKNWA @ 74.15 #+15145552256 
Sell 13270  BKNWA @ 73.87 #+15145552078 
Buy 19180  BKNWA @ 74.06 #+15145558385  
Buy 30430  BKNWA @ 73.65 #+15145557544  
Buy 27480  BKNWA @ 73.85 #+15145555135  
Buy 17860  BKNWA @ 74.54 #+15145555366  
Sell 15220  BKNWA @ 74.41 #+15145559913 
Buy 22800  BKNWA @ 74.52 #+15145558934  
Sell 17450  BKNWA @ 74.48 #+15145555261 
Sell 10670  BKNWA @ 74.42 #+15145550316 
Sell 74180  BKNWA @ 74.49 #+15145558749 
Sell 10100  BKNWA @ 74.45 #+15145558920 
Buy 20370  BKNWA @ 74 #+15145557826     
Buy 13190  BKNWA @ 73.44 #+15145558117  
Buy 34480  BKNWA @ 73.59 #+15145550758  
Buy 35250  BKNWA @ 74.18 #+15145552101  
Buy 11830  BKNWA @ 74.63 #+15145550896  
Sell 12120  BKNWA @ 74.65 #+15145552898 
Buy 25690  BKNWA @ 74.19 #+15145557009  
Buy 13250  BKNWA @ 74.44 #+15145556640  
Buy 14650  BKNWA @ 73.79 #+15145559986  
Sell 8640  BKNWA @ 73.86 #+15145556850  
Buy 26780  BKNWA @ 73.72 #+15145557219  
Sell 33940  BKNWA @ 73.74 #+15145557084 
Sell 19000  BKNWA @ 74.33 #+15145551954 
Buy 24660  BKNWA @ 73.46 #+15145551539  
Sell 26070  BKNWA @ 74.18 #+15145552510 
Sell 41640  BKNWA @ 73.53 #+15145551496 
Buy 36360  BKNWA @ 73.49 #+15145554463  
Sell 33560  BKNWA @ 73.44 #+15145556970 
Buy 18920  BKNWA @ 73.43 #+15145556024  
Sell 19790  BKNWA @ 74.75 #+15145552579 
Buy 22510  BKNWA @ 74.47 #+15145557677  
Buy 30430  BKNWA @ 74.07 #+15145550002  
Sell 17690  BKNWA @ 73.64 #+15145558065 
Buy 34590  BKNWA @ 73.58 #+15145552709  
Sell 49320  BKNWA @ 73.84 #+15145559038 
Buy 38790  BKNWA @ 74.08 #+15145553568  
Buy 33230  BKNWA @ 73.56 #+15145554817  
Buy 44070  BKNWA @ 73.22 #+15145559745  
Buy 34740  BKNWA @ 73.21 #+15145555306  
Sell 41270  BKNWA @ 73.2 #+15145555744  
Buy 34370  BKNWA @ 72.8 #+15145556273   
Buy 22850  BKNWA @ 73.01 #+15145559866  
Buy 57500  BKNWA @ 73.98 #+15145551565  
Sell 65690  BKNWA @ 73.83 #+15145555861 
Buy 73060  BKNWA @ 72.72 #+15145555817  
Sell 53800  BKNWA @ 72.65 #+15145559229 
Sell 34440  BKNWA @ 72.72 #+15145555713 
Buy 14580  BKNWA @ 73.14 #+15145558869  
Sell 16440  BKNWA @ 72.41 #+15145558448 
Sell 21840  BKNWA @ 72.73 #+15145556355 
Sell 31590  BKNWA @ 73.43 #+15145557623 
Sell 37260  BKNWA @ 74.23 #+15145557030 
Buy 19690  BKNWA @ 74.81 #+15145554503  
Sell 32790  BKNWA @ 74.57 #+15145555142 
Buy 43360  BKNWA @ 74.69 #+15145553491  
Sell 45620  BKNWA @ 74.63 #+15145555964 
Sell 46480  BKNWA @ 74.09 #+15145551431 
Sell 46140  BKNWA @ 74.42 #+15145559243 
Buy 50780  BKNWA @ 74.61 #+15145558735  
Buy 35610  BKNWA @ 74.41 #+15145552564  
Buy 11010  BKNWA @ 74.86 #+15145559977  
Buy 12750  BKNWA @ 75.01 #+15145559956  
Buy 15110  BKNWA @ 74.98 #+15145553000  
Sell 12770  BKNWA @ 74.12 #+15145559336 
Sell 18470  BKNWA @ 74.47 #+15145558099 
Buy 24120  BKNWA @ 73.93 #+15145555308  
Buy 29270  BKNWA @ 73.85 #+15145557808  
Sell 21490  BKNWA @ 73.82 #+15145553778 
Buy 19780  BKNWA @ 74.02 #+15145559075  
Sell 21460  BKNWA @ 73.91 #+15145551891 
Buy 17310  BKNWA @ 73.01 #+15145555060  
Sell 8830  BKNWA @ 73.2 #+15145556133   
Sell 13560  BKNWA @ 72.77 #+15145555959 
Sell 15660  BKNWA @ 72.88 #+15145550374 
Sell 34210  BKNWA @ 72.77 #+15145552387 
Sell 55890  BKNWA @ 72.89 #+15145555152 
Buy 26390  BKNWA @ 73.26 #+15145551345  
Sell 17530  BKNWA @ 72.78 #+15145557542 
Sell 13360  BKNWA @ 72.25 #+15145557975 
Sell 5450  BKNWA @ 72.66 #+15145558598  
Sell 9690  BKNWA @ 72.63 #+15145559578  
Sell 4140  BKNWA @ 71.66 #+15145552978  
Sell 12770  BKNWA @ 71.94 #+15145551352 
Buy 11520  BKNWA @ 71.8 #+15145554544   
Buy 6690  BKNWA @ 72.22 #+15145559940   
Sell 5760  BKNWA @ 72.09 #+15145555410  
Buy 10130  BKNWA @ 72.55 #+15145556132  
Buy 9620  BKNWA @ 72.61 #+15145550056   
Buy 13230  BKNWA @ 72 #+15145551917     
Sell 4100  BKNWA @ 72.38 #+15145553953  
Buy 1310  BKNWA @ 72.5 #+15145550402    
Buy 11240  BKNWA @ 72.36 #+15145550531  
Buy 15440  BKNWA @ 71.98 #+15145557370  
Buy 7410  BKNWA @ 71.06 #+15145557281   
Buy 14750  BKNWA @ 70.66 #+15145551486  
Buy 3830  BKNWA @ 70.41 #+15145552695   
Buy 7510  BKNWA @ 70.39 #+15145558392   
Sell 3840  BKNWA @ 70.85 #+15145553558  
Sell 12520  BKNWA @ 70.61 #+15145554336 
Buy 10090  BKNWA @ 70.76 #+15145552773  
Buy 10300  BKNWA @ 71.12 #+15145552171  
Sell 3710  BKNWA @ 72.03 #+15145553439  
Sell 5890  BKNWA @ 73.03 #+15145550788  
Sell 12270  BKNWA @ 73.25 #+15145556079 
Buy 7230  BKNWA @ 73.38 #+15145557263   
Buy 10810  BKNWA @ 72.94 #+15145559850  
Sell 7600  BKNWA @ 73.6 #+15145553518   
Buy 6480  BKNWA @ 72.85 #+15145556807   
Buy 4430  BKNWA @ 73.19 #+15145551624   
Buy 6720  BKNWA @ 73.64 #+15145555688   
Buy 3610  BKNWA @ 73.35 #+15145555703   
Sell 5720  BKNWA @ 73.53 #+15145558884  
Buy 11780  BKNWA @ 72.96 #+15145552122  
Sell 4630  BKNWA @ 72.95 #+15145555305  
Sell 4730  BKNWA @ 73.8 #+15145559189   
Buy 4570  BKNWA @ 73.84 #+15145559046   
Buy 2980  BKNWA @ 74.06 #+15145551927   
Buy 10190  BKNWA @ 73.95 #+15145554278  
Buy 10710  BKNWA @ 73.56 #+15145558183  
Sell 11370  BKNWA @ 74.1 #+15145550858  
Buy 5700  BKNWA @ 74.39 #+15145559209   
Buy 6310  BKNWA @ 74.18 #+15145552502   
Sell 9330  BKNWA @ 73.73 #+15145559357  
Sell 12270  BKNWA @ 74.42 #+15145553500 
Sell 7420  BKNWA @ 74.46 #+15145553185  
Sell 8470  BKNWA @ 74.31 #+15145550581  
Sell 7180  BKNWA @ 74.87 #+15145556500  
Buy 3550  BKNWA @ 74.92 #+15145559630   
Sell 2800  BKNWA @ 75.24 #+15145557834  
Sell 12160  BKNWA @ 74.39 #+15145551665 
Sell 11200  BKNWA @ 74.54 #+15145559322 
Buy 4050  BKNWA @ 74.27 #+15145551445   
Buy 11490  BKNWA @ 74.9 #+15145554071   
Buy 11680  BKNWA @ 74.83 #+15145557423  
Buy 6100  BKNWA @ 75.29 #+15145559918   
Buy 10550  BKNWA @ 75.76 #+15145550747  
Buy 10720  BKNWA @ 75.57 #+15145551013  
Buy 14540  BKNWA @ 76.11 #+15145559326  
Buy 8550  BKNWA @ 75.57 #+15145557487   
Sell 6680  BKNWA @ 75.26 #+15145556758  
Sell 10460  BKNWA @ 75.91 #+15145558109 
Buy 4600  BKNWA @ 76.12 #+15145556563   
Sell 8190  BKNWA @ 75.94 #+15145552761  
Sell 6630  BKNWA @ 75.56 #+15145555320  
Buy 4510  BKNWA @ 75.3 #+15145558154    
Buy 13040  BKNWA @ 74.99 #+15145556929  
Sell 5650  BKNWA @ 75.73 #+15145555942  
Buy 11250  BKNWA @ 75.74 #+15145559390  
Buy 9230  BKNWA @ 76 #+15145554890      
Buy 7570  BKNWA @ 75.45 #+15145558045   
Sell 13040  BKNWA @ 75.22 #+15145551950 
Sell 5290  BKNWA @ 75.22 #+15145558187  
Sell 8290  BKNWA @ 75.04 #+15145552223  
Buy 10370  BKNWA @ 74.74 #+15145556373  
Sell 11270  BKNWA @ 75.69 #+15145551266 
Buy 6810  BKNWA @ 75.18 #+15145557401   
Buy 10310  BKNWA @ 74.14 #+15145559391  
Sell 12340  BKNWA @ 73.95 #+15145554325 
Buy 5240  BKNWA @ 74.42 #+15145556321   
Sell 5930  BKNWA @ 74.31 #+15145554644  
Buy 10050  BKNWA @ 74.99 #+15145552985  
Buy 10330  BKNWA @ 74.58 #+15145556384  
Sell 6340  BKNWA @ 75.26 #+15145551414  
Sell 10120  BKNWA @ 74.98 #+15145552726 
Sell 3800  BKNWA @ 75.04 #+15145556936  
Sell 5480  BKNWA @ 75.23 #+15145554993  
Buy 12750  BKNWA @ 75.21 #+15145554796  
Sell 2900  BKNWA @ 74.72 #+15145553697  
Buy 3760  BKNWA @ 75.31 #+15145552410   
Sell 5150  BKNWA @ 75.93 #+15145555952  
Sell 5600  BKNWA @ 75.86 #+15145556707  
Buy 14490  BKNWA @ 76.13 #+15145553850  
Buy 3970  BKNWA @ 76.16 #+15145554881   
Buy 9580  BKNWA @ 76.82 #+15145559287   
Buy 13230  BKNWA @ 76.09 #+15145558403  
Sell 12820  BKNWA @ 76.36 #+15145555393 
Sell 14470  BKNWA @ 75.78 #+15145557078 
Buy 14530  BKNWA @ 75.58 #+15145559893  
Sell 16120  BKNWA @ 75.58 #+15145554837 
Buy 12080  BKNWA @ 75.67 #+15145557990  
Buy 16370  BKNWA @ 75.86 #+15145551432  
Buy 12790  BKNWA @ 75.23 #+15145553578  
Buy 18900  BKNWA @ 75.54 #+15145555310  
Sell 8290  BKNWA @ 75.36 #+15145555555  
Sell 8490  BKNWA @ 74.93 #+15145550203  
Buy 11570  BKNWA @ 75.05 #+15145550408  
Sell 9000  BKNWA @ 75.07 #+15145551231  
Buy 7230  BKNWA @ 75.65 #+15145552359   
Buy 7780  BKNWA @ 75.68 #+15145557153   
Sell 13310  BKNWA @ 75.58 #+15145552588 
Buy 12280  BKNWA @ 76.01 #+15145551506  
Buy 9500  BKNWA @ 75.67 #+15145555850   
Buy 13140  BKNWA @ 77.06 #+15145557802  
Sell 9520  BKNWA @ 76.72 #+15145552806  
Buy 3940  BKNWA @ 77.12 #+15145557594   
Sell 12100  BKNWA @ 76.81 #+15145558374 
Buy 14830  BKNWA @ 77.53 #+15145558527  
Sell 7690  BKNWA @ 77.35 #+15145554608  
Sell 9090  BKNWA @ 77.58 #+15145550680  
Buy 3510  BKNWA @ 77.84 #+15145554265   
Sell 11410  BKNWA @ 78.17 #+15145552571 
Buy 4790  BKNWA @ 78.29 #+15145556109   
Sell 6260  BKNWA @ 77.63 #+15145557174  
Buy 8710  BKNWA @ 77.78 #+15145553855   
Sell 4220  BKNWA @ 77.66 #+15145558290  
Sell 9590  BKNWA @ 77.62 #+15145557755  
Buy 7910  BKNWA @ 76.62 #+15145558785   
Buy 16570  BKNWA @ 76.65 #+15145559449  
Buy 20370  BKNWA @ 75.97 #+15145558763  
Buy 7880  BKNWA @ 76.34 #+15145555809   
Sell 9820  BKNWA @ 75.98 #+15145557538  
Buy 11870  BKNWA @ 75.77 #+15145554851  
Sell 8930  BKNWA @ 76.05 #+15145554214  
Sell 14130  BKNWA @ 75.97 #+15145553693 
Sell 6360  BKNWA @ 76.52 #+15145552848  
Sell 9210  BKNWA @ 76.27 #+15145553166  
Buy 8500  BKNWA @ 76.72 #+15145550370   
Sell 6690  BKNWA @ 77.17 #+15145551619  
Buy 5750  BKNWA @ 76.78 #+15145558130   
Sell 3370  BKNWA @ 78.03 #+15145557503  
Sell 8780  BKNWA @ 78.33 #+15145559814  
Buy 10050  BKNWA @ 79.17 #+15145554683  
Buy 5990  BKNWA @ 78.82 #+15145556653   
Buy 17290  BKNWA @ 79.92 #+15145557820  
Buy 10090  BKNWA @ 79.43 #+15145558170  
Buy 7740  BKNWA @ 78.82 #+15145559804   
Buy 2790  BKNWA @ 78.51 #+15145556829   
Sell 4880  BKNWA @ 78.03 #+15145552560  
Buy 11870  BKNWA @ 77.83 #+15145559917  
Sell 6660  BKNWA @ 78.65 #+15145552142  
Buy 12820  BKNWA @ 78.62 #+15145554178  
Sell 6600  BKNWA @ 77.88 #+15145551590  
Sell 9430  BKNWA @ 77.82 #+15145553138  
Buy 4920  BKNWA @ 77.82 #+15145554288   
Sell 2900  BKNWA @ 78.23 #+15145558707  
Sell 6850  BKNWA @ 78.59 #+15145556676  
Buy 8420  BKNWA @ 78.42 #+15145551217   
Sell 7440  BKNWA @ 77.9 #+15145555520   
Buy 9870  BKNWA @ 78.16 #+15145555278   
Buy 4160  BKNWA @ 77.35 #+15145550669   
