Sell 16800  AGOG @ 99.79 #+15145555329
Buy 14790  AGOG @ 72 #+15145556729
Sell 29260  AGOG @ 70.59 #+15145557942
Buy 28810  AGOG @ 71.49 #+15145558124
Buy 40190  AGOG @ 71.32 #+15145558432
Buy 24250  AGOG @ 71.83 #+15145558416
Buy 17820  AGOG @ 70.71 #+15145556365
Buy 18350  AGOG @ 71.21 #+15145550923
Buy 28260  AGOG @ 71.66 #+15145556441
Sell 35650  AGOG @ 74.76 #+15145559365
Sell 50910  AGOG @ 72.31 #+15145552081
Sell 43080  AGOG @ 71.7 #+15145559732
Buy 43970  AGOG @ 71.04 #+15145559718
Sell 62650  AGOG @ 70.73 #+15145551383
Buy 100880  AGOG @ 70.7 #+15145559099
Sell 126800  AGOG @ 70.87 #+15145558523
Buy 36150  AGOG @ 71.35 #+15145550698
Buy 19950  AGOG @ 73.4 #+15145556557
Sell 19940  AGOG @ 73.07 #+15145555448
Buy 37520  AGOG @ 74.25 #+15145551670
Sell 53610  AGOG @ 73.22 #+15145551255
Sell 33600  AGOG @ 74.78 #+15145552560
Sell 27760  AGOG @ 72.51 #+15145557853
Sell 32510  AGOG @ 72.84 #+15145556762
Buy 21910  AGOG @ 72.35 #+15145558091
Buy 18810  AGOG @ 68.18 #+15145558845
Sell 13030  AGOG @ 71.37 #+15145556109
Sell 13170  AGOG @ 70.77 #+15145550622
Buy 23060  AGOG @ 70.52 #+15145555302
Sell 15590  AGOG @ 70.93 #+15145553572
Sell 15350  AGOG @ 67.77 #+15145552915
Sell 22020  AGOG @ 70.16 #+15145557053
Sell 13690  AGOG @ 69.76 #+15145559669
Sell 16910  AGOG @ 69.92 #+15145550717
Buy 12710  AGOG @ 70.36 #+15145558534
Buy 16030  AGOG @ 70.72 #+15145552812
Sell 12320  AGOG @ 70.69 #+15145558155
Sell 26440  AGOG @ 70.94 #+15145554552
Sell 19820  AGOG @ 72.95 #+15145559693
Buy 30970  AGOG @ 70.53 #+15145556817
Sell 15860  AGOG @ 74 #+15145554530
Buy 26480  AGOG @ 68.56 #+15145550221
Buy 20320  AGOG @ 71.16 #+15145556052
Buy 16180  AGOG @ 70.52 #+15145556553
Sell 16520  AGOG @ 70.95 #+15145558323
Buy 15110  AGOG @ 70.96 #+15145553157
Buy 23250  AGOG @ 70.54 #+15145554377
Buy 16960  AGOG @ 70.97 #+15145550453
Sell 15040  AGOG @ 70.76 #+15145559160
Buy 15770  AGOG @ 70.47 #+15145554264
Sell 13080  AGOG @ 69.71 #+15145559144
Sell 13690  AGOG @ 72.38 #+15145559841
Sell 17310  AGOG @ 70.43 #+15145555862
Sell 19000  AGOG @ 70.35 #+15145552645
Buy 26350  AGOG @ 68.58 #+15145557988
Buy 15280  AGOG @ 68.03 #+15145554054
Sell 27920  AGOG @ 69.61 #+15145553266
Buy 29550  AGOG @ 70.76 #+15145553859
Sell 19130  AGOG @ 69.46 #+15145551951
Sell 18970  AGOG @ 66.56 #+15145556795
Buy 19950  AGOG @ 68.72 #+15145558445
Sell 19150  AGOG @ 69.04 #+15145551929
Buy 15180  AGOG @ 68.44 #+15145557196
Buy 15780  AGOG @ 68.52 #+15145551570
Buy 13670  AGOG @ 67.89 #+15145550650
Buy 18620  AGOG @ 68.52 #+15145555192
Sell 22520  AGOG @ 71.79 #+15145559962
Sell 20840  AGOG @ 68.3 #+15145559336
Buy 23580  AGOG @ 66.49 #+15145550237
Sell 31400  AGOG @ 67.9 #+15145559180
Buy 39490  AGOG @ 70.62 #+15145553918
Sell 22460  AGOG @ 68.74 #+15145553438
Sell 24320  AGOG @ 65.91 #+15145559578
Sell 19100  AGOG @ 68.66 #+15145555809
Buy 35230  AGOG @ 67.86 #+15145552687
Sell 25090  AGOG @ 65.66 #+15145555148
Sell 23720  AGOG @ 67.12 #+15145559933
Buy 25880  AGOG @ 67.05 #+15145559694
Buy 16570  AGOG @ 67.18 #+15145556550
Sell 18850  AGOG @ 66.8 #+15145555842
Sell 22640  AGOG @ 68.51 #+15145553896
Buy 25800  AGOG @ 65.99 #+15145552798
Buy 32940  AGOG @ 67.1 #+15145552572
Sell 65400  AGOG @ 67.01 #+15145554683
Sell 54230  AGOG @ 66.68 #+15145559727
Sell 13470  AGOG @ 67.12 #+15145551375
Buy 19800  AGOG @ 66.07 #+15145551608
Buy 19150  AGOG @ 66.19 #+15145551977
Buy 12380  AGOG @ 67.14 #+15145553138
Sell 15150  AGOG @ 66.23 #+15145557066
Sell 35060  AGOG @ 65.79 #+15145551708
Sell 17280  AGOG @ 66.4 #+15145555729
Sell 11240  AGOG @ 67.63 #+15145556040
Sell 12300  AGOG @ 67.52 #+15145558065
Buy 11930  AGOG @ 63.56 #+15145551253
Sell 18530  AGOG @ 65.9 #+15145552654
Sell 28820  AGOG @ 64.65 #+15145558075
Sell 14540  AGOG @ 64.88 #+15145552966
Buy 11880  AGOG @ 67.52 #+15145554376
Sell 16550  AGOG @ 64.5 #+15145558713
Sell 22420  AGOG @ 62.75 #+15145550475
Buy 24220  AGOG @ 66.31 #+15145553693
Buy 16740  AGOG @ 64.86 #+15145558412
Buy 17290  AGOG @ 65.91 #+15145555469
Buy 18200  AGOG @ 65.11 #+15145557012
Buy 22070  AGOG @ 66.1 #+15145552332
Buy 25950  AGOG @ 63.03 #+15145555990
Buy 26320  AGOG @ 66.11 #+15145558513
Buy 16710  AGOG @ 65.3 #+15145550766
Sell 19440  AGOG @ 65.21 #+15145557015
Sell 12520  AGOG @ 65.16 #+15145557739
Buy 16680  AGOG @ 64.66 #+15145552587
Sell 17500  AGOG @ 64.48 #+15145550435
Sell 22730  AGOG @ 64.45 #+15145558029
Buy 23110  AGOG @ 63.4 #+15145559930
Sell 30990  AGOG @ 62.73 #+15145554468
Buy 18470  AGOG @ 63.39 #+15145557795
Buy 24070  AGOG @ 63.03 #+15145557163
Sell 16500  AGOG @ 64.17 #+15145551302
Buy 20930  AGOG @ 63.22 #+15145557181
Sell 20390  AGOG @ 63.26 #+15145552449
Buy 26570  AGOG @ 63.47 #+15145556127
Sell 16190  AGOG @ 62.61 #+15145555229
Buy 22520  AGOG @ 63.51 #+15145554153
Buy 16510  AGOG @ 61.33 #+15145559431
Buy 16480  AGOG @ 62.37 #+15145554228
Buy 12530  AGOG @ 65.29 #+15145554255
Buy 12430  AGOG @ 62.79 #+15145550285
Buy 15700  AGOG @ 63.99 #+15145554395
Buy 11130  AGOG @ 62.16 #+15145550030
Buy 15450  AGOG @ 61.79 #+15145556225
Buy 13720  AGOG @ 62.55 #+15145550885
Buy 24140  AGOG @ 62.68 #+15145559344
Sell 15680  AGOG @ 62.72 #+15145559127
Buy 17590  AGOG @ 63.85 #+15145559477
Sell 17560  AGOG @ 63.23 #+15145558685
Buy 22930  AGOG @ 62.81 #+15145559114
Buy 18660  AGOG @ 61.98 #+15145557942
Sell 21220  AGOG @ 62.44 #+15145551330
Sell 21500  AGOG @ 62 #+15145555459
Sell 22120  AGOG @ 63.45 #+15145552765
Buy 35680  AGOG @ 60.49 #+15145550963
Buy 33700  AGOG @ 61.7 #+15145556868
Sell 16460  AGOG @ 61.71 #+15145559203
Sell 15860  AGOG @ 60.61 #+15145552716
Buy 17200  AGOG @ 60.17 #+15145559023
Sell 15890  AGOG @ 57.63 #+15145554582
Buy 18690  AGOG @ 59.34 #+15145551504
Sell 24780  AGOG @ 62.84 #+15145555986
Sell 25240  AGOG @ 58.53 #+15145550670
Buy 23590  AGOG @ 60.96 #+15145554552
Buy 25720  AGOG @ 61.55 #+15145553552
Buy 19970  AGOG @ 62.45 #+15145557903
Buy 19280  AGOG @ 61.3 #+15145554166
Buy 13920  AGOG @ 61.64 #+15145554446
Sell 24990  AGOG @ 66.49 #+15145551066
Buy 10050  AGOG @ 60.88 #+15145556181
Sell 11980  AGOG @ 61.84 #+15145553107
Sell 9510  AGOG @ 61.71 #+15145552059
Buy 9080  AGOG @ 61.11 #+15145558072
Sell 7480  AGOG @ 60.73 #+15145551424
Buy 9910  AGOG @ 61.1 #+15145551271
Sell 3870  AGOG @ 60.43 #+15145554686
Sell 2500  AGOG @ 60.91 #+15145555805
Buy 7470  AGOG @ 60.8 #+15145556055
Sell 12940  AGOG @ 61.11 #+15145555175
Buy 17550  AGOG @ 58.32 #+15145558142
Buy 14990  AGOG @ 61.39 #+15145559668
Buy 12780  AGOG @ 60.98 #+15145550768
Sell 18540  AGOG @ 61.35 #+15145555112
Buy 20130  AGOG @ 61.61 #+15145550963
Buy 24630  AGOG @ 64.82 #+15145557069
Buy 26520  AGOG @ 58.8 #+15145552159
Buy 46690  AGOG @ 61.25 #+15145555917
Buy 28940  AGOG @ 61.41 #+15145550754
Sell 33780  AGOG @ 60.43 #+15145551019
Sell 19970  AGOG @ 59.8 #+15145556252
Sell 18440  AGOG @ 60.38 #+15145557464
Buy 24090  AGOG @ 59.25 #+15145550790
Sell 46250  AGOG @ 59.28 #+15145555745
Buy 26240  AGOG @ 58.44 #+15145558917
Buy 12390  AGOG @ 58.4 #+15145554793
Sell 13640  AGOG @ 59.1 #+15145558635
Buy 16880  AGOG @ 58.92 #+15145551690
Sell 22450  AGOG @ 59.7 #+15145558520
Sell 29890  AGOG @ 59.48 #+15145558494
Buy 37310  AGOG @ 53.88 #+15145558184
Buy 57680  AGOG @ 54.64 #+15145554563
Sell 51670  AGOG @ 56.47 #+15145551416
Buy 14600  AGOG @ 58.51 #+15145556729
Sell 19070  AGOG @ 59.62 #+15145556820
Sell 25210  AGOG @ 59.06 #+15145559443
Sell 29040  AGOG @ 56.59 #+15145553930
Sell 33290  AGOG @ 55.29 #+15145556907
Sell 16700  AGOG @ 58.47 #+15145555761
Sell 47280  AGOG @ 62.11 #+15145559780
Buy 44430  AGOG @ 59.55 #+15145554868
Sell 71260  AGOG @ 60.75 #+15145551967
Buy 24980  AGOG @ 60.75 #+15145550929
Buy 10380  AGOG @ 59.58 #+15145555268
Sell 24010  AGOG @ 59.91 #+15145558696
Sell 26750  AGOG @ 59.4 #+15145556571
Buy 21440  AGOG @ 59.48 #+15145558034
Buy 22790  AGOG @ 58.79 #+15145558523
Sell 16370  AGOG @ 58.88 #+15145553032
Buy 29710  AGOG @ 58.12 #+15145558801
Sell 27750  AGOG @ 58.6 #+15145557712
Sell 35670  AGOG @ 57.61 #+15145555284
Buy 28380  AGOG @ 59.13 #+15145555585
Buy 24990  AGOG @ 57.55 #+15145552925
Sell 38970  AGOG @ 57.65 #+15145559836
Sell 107670  AGOG @ 57.71 #+15145558060
Sell 27520  AGOG @ 60.48 #+15145559889
Buy 26900  AGOG @ 58.01 #+15145554426
Sell 26040  AGOG @ 58.72 #+15145550294
Sell 38680  AGOG @ 59.51 #+15145556517
Buy 40800  AGOG @ 58.93 #+15145552456
Buy 31650  AGOG @ 58.81 #+15145558504
Sell 27690  AGOG @ 61.13 #+15145553461
Sell 42860  AGOG @ 59.72 #+15145553856
Sell 25820  AGOG @ 61.09 #+15145559068
Sell 23410  AGOG @ 61.8 #+15145553845
Sell 13720  AGOG @ 60.78 #+15145558992
Buy 23670  AGOG @ 62.9 #+15145556189
Buy 39570  AGOG @ 64.26 #+15145553348
Sell 14920  AGOG @ 62.18 #+15145550121
Buy 14510  AGOG @ 64.02 #+15145552432
Sell 12760  AGOG @ 64.41 #+15145551401
Buy 20230  AGOG @ 64.51 #+15145550179
Sell 16910  AGOG @ 65.07 #+15145557794
Sell 31640  AGOG @ 62.02 #+15145558895
Sell 37280  AGOG @ 63.94 #+15145554514
Sell 28810  AGOG @ 67.78 #+15145557548
Sell 33890  AGOG @ 61.66 #+15145555053
Buy 32560  AGOG @ 61.95 #+15145557924
Buy 21300  AGOG @ 64.09 #+15145552917
Sell 28400  AGOG @ 63.34 #+15145551477
Sell 19610  AGOG @ 63.58 #+15145553308
Sell 25270  AGOG @ 60.54 #+15145554328
Buy 16440  AGOG @ 65.49 #+15145554564
Buy 17080  AGOG @ 63.23 #+15145553472
Buy 23890  AGOG @ 62.75 #+15145551533
Sell 11550  AGOG @ 62.54 #+15145555172
Sell 16940  AGOG @ 63.53 #+15145552661
Buy 11200  AGOG @ 63.86 #+15145559295
Buy 11720  AGOG @ 64.09 #+15145551393
Buy 9300  AGOG @ 65.09 #+15145557972
Buy 8770  AGOG @ 61.33 #+15145552188
Buy 13770  AGOG @ 65.17 #+15145557563
Sell 11080  AGOG @ 63.78 #+15145556125
Buy 16990  AGOG @ 63.92 #+15145558771
Sell 16420  AGOG @ 64.66 #+15145551500
Sell 12850  AGOG @ 63.17 #+15145557712
Sell 14860  AGOG @ 65.97 #+15145554930
Buy 14940  AGOG @ 64.04 #+15145555278
Sell 11100  AGOG @ 67.67 #+15145550158
Sell 11950  AGOG @ 63.74 #+15145554171
Buy 13880  AGOG @ 64.57 #+15145553621
Sell 12900  AGOG @ 67.44 #+15145553073
Sell 13640  AGOG @ 64.23 #+15145555451
Buy 14010  AGOG @ 63.94 #+15145553303
Buy 14690  AGOG @ 65.64 #+15145558298
Buy 14410  AGOG @ 63.96 #+15145555551
Buy 14060  AGOG @ 63.73 #+15145556499
Buy 19770  AGOG @ 61.68 #+15145559570
Buy 16620  AGOG @ 63.8 #+15145557614
Buy 25010  AGOG @ 63.67 #+15145550155
Sell 17020  AGOG @ 62.54 #+15145555820
Sell 13730  AGOG @ 63.98 #+15145553463
Buy 20400  AGOG @ 61.86 #+15145550162
Sell 24420  AGOG @ 61.36 #+15145558281
Buy 48270  AGOG @ 64.09 #+15145555446
Sell 29780  AGOG @ 64.13 #+15145553371
Sell 24640  AGOG @ 64.75 #+15145554050
Buy 23370  AGOG @ 66.37 #+15145554092
Sell 31940  AGOG @ 64.13 #+15145557155
Buy 20730  AGOG @ 65.72 #+15145552627
Sell 25740  AGOG @ 63.55 #+15145557813
Buy 22780  AGOG @ 64.79 #+15145552562
Buy 23140  AGOG @ 65.77 #+15145553144
Sell 18500  AGOG @ 66.3 #+15145559637
Buy 21980  AGOG @ 66.62 #+15145550884
Buy 34230  AGOG @ 67.06 #+15145555221
Sell 84240  AGOG @ 67.71 #+15145552912
Sell 21920  AGOG @ 67.39 #+15145552130
Sell 58410  AGOG @ 64.28 #+15145557457
Buy 36630  AGOG @ 64.32 #+15145558544
Buy 17170  AGOG @ 63.29 #+15145558220
Buy 30230  AGOG @ 62.33 #+15145559597
Sell 23990  AGOG @ 66.29 #+15145559204
Sell 19530  AGOG @ 63.09 #+15145555407
Buy 85210  AGOG @ 64.38 #+15145555701
Sell 29810  AGOG @ 64.69 #+15145552580
Buy 34600  AGOG @ 64.06 #+15145551091
Buy 19000  AGOG @ 64.52 #+15145553513
Buy 14250  AGOG @ 65.26 #+15145555302
Buy 22800  AGOG @ 65.4 #+15145555338
Buy 44710  AGOG @ 64.33 #+15145558426
Buy 118460  AGOG @ 64.86 #+15145553212
Buy 122410  AGOG @ 63.23 #+15145555352
Buy 13310  AGOG @ 65.98 #+15145556744
Sell 11850  AGOG @ 68.47 #+15145558402
Buy 17270  AGOG @ 68.29 #+15145551170
Sell 37740  AGOG @ 72.7 #+15145550954
Buy 30160  AGOG @ 67.51 #+15145552978
Sell 29970  AGOG @ 68.99 #+15145554084
Sell 25580  AGOG @ 68.71 #+15145550948
Sell 26370  AGOG @ 71.33 #+15145559494
Sell 17770  AGOG @ 68.52 #+15145551447
Buy 17900  AGOG @ 67.51 #+15145551835
Buy 21780  AGOG @ 68.91 #+15145556461
Sell 20700  AGOG @ 68.29 #+15145559082
Sell 24030  AGOG @ 68.74 #+15145553485
Buy 24730  AGOG @ 70.55 #+15145555490
Sell 38310  AGOG @ 71.02 #+15145559835
Buy 29450  AGOG @ 69 #+15145554863
Sell 55340  AGOG @ 68.44 #+15145557759
Sell 61310  AGOG @ 69.06 #+15145552865
Buy 79740  AGOG @ 68.99 #+15145558050
Buy 64570  AGOG @ 69.39 #+15145556296
Sell 81350  AGOG @ 68.6 #+15145552337
Sell 41310  AGOG @ 72.03 #+15145551476
Sell 30680  AGOG @ 66.62 #+15145552356
Buy 61300  AGOG @ 67.29 #+15145550723
Sell 84690  AGOG @ 67.52 #+15145553577
Sell 180100  AGOG @ 66.9 #+15145555799
Sell 279310  AGOG @ 66.75 #+15145557274
Sell 80440  AGOG @ 65.56 #+15145555299
Buy 52070  AGOG @ 67.84 #+15145552923
Buy 31030  AGOG @ 67.65 #+15145551492
Sell 36670  AGOG @ 69.45 #+15145555689
Sell 20860  AGOG @ 67.95 #+15145554241
Sell 50520  AGOG @ 67.7 #+15145555433
Buy 25940  AGOG @ 67.74 #+15145554366
Buy 31130  AGOG @ 68.24 #+15145555007
Buy 28560  AGOG @ 68.37 #+15145558448
Sell 18360  AGOG @ 69.36 #+15145550647
Buy 25290  AGOG @ 69.48 #+15145551123
Buy 10840  AGOG @ 68.8 #+15145556892
Buy 9200  AGOG @ 65.42 #+15145558240
Buy 12090  AGOG @ 69.05 #+15145551647
Buy 14150  AGOG @ 70.08 #+15145556620
Sell 18430  AGOG @ 69.41 #+15145551383
Buy 32670  AGOG @ 69.57 #+15145551664
Buy 31760  AGOG @ 69.06 #+15145555306
Sell 17930  AGOG @ 68.63 #+15145552221
Sell 29450  AGOG @ 68.14 #+15145558279
Sell 28290  AGOG @ 69.02 #+15145559832
Sell 14530  AGOG @ 68.68 #+15145556173
Buy 30180  AGOG @ 68.19 #+15145552766
Sell 20480  AGOG @ 68.89 #+15145557967
Buy 17220  AGOG @ 68.71 #+15145555360
Sell 34270  AGOG @ 69.15 #+15145550086
Buy 15550  AGOG @ 68.26 #+15145553074
Sell 15270  AGOG @ 71.19 #+15145559640
Sell 33750  AGOG @ 68.51 #+15145558096
Sell 17360  AGOG @ 68.35 #+15145556706
Sell 29860  AGOG @ 67.49 #+15145550188
Sell 23310  AGOG @ 67.53 #+15145552767
Buy 38070  AGOG @ 68.32 #+15145558990
Sell 33770  AGOG @ 66.98 #+15145558793
Sell 44380  AGOG @ 68.68 #+15145558920
Sell 75420  AGOG @ 66.61 #+15145552777
Sell 18330  AGOG @ 65.92 #+15145559810
Sell 22070  AGOG @ 69.92 #+15145554174
Buy 29690  AGOG @ 68.35 #+15145556048
Buy 28260  AGOG @ 67.76 #+15145550694
Sell 34590  AGOG @ 68.6 #+15145554102
Buy 30280  AGOG @ 68.19 #+15145552459
Sell 28300  AGOG @ 68.16 #+15145550822
Sell 22760  AGOG @ 65.64 #+15145554323
Sell 23860  AGOG @ 66.58 #+15145554548
Sell 30110  AGOG @ 68.46 #+15145559318
Sell 27660  AGOG @ 67.73 #+15145558198
Sell 26010  AGOG @ 67.33 #+15145551793
Sell 32470  AGOG @ 68.37 #+15145553534
Sell 26150  AGOG @ 67.35 #+15145554029
Sell 34680  AGOG @ 67.62 #+15145552315
Sell 29330  AGOG @ 66.81 #+15145550559
Buy 38670  AGOG @ 67.85 #+15145556701
Buy 40120  AGOG @ 68.07 #+15145559904
Buy 38040  AGOG @ 68.64 #+15145552035
Sell 57040  AGOG @ 68.86 #+15145559662
Sell 42440  AGOG @ 69.3 #+15145559013
Buy 67250  AGOG @ 66.79 #+15145552779
Sell 55610  AGOG @ 68.26 #+15145555240
Sell 44240  AGOG @ 67.94 #+15145559439
Buy 55640  AGOG @ 67.82 #+15145557057
Sell 68580  AGOG @ 67.33 #+15145551739
Buy 144810  AGOG @ 67.41 #+15145559621
Buy 438240  AGOG @ 68.1 #+15145551504
Sell 41440  AGOG @ 65.88 #+15145556957
Buy 115990  AGOG @ 54.19 #+15145553814
Buy 79230  AGOG @ 56.98 #+15145555516
Buy 32470  AGOG @ 59.49 #+15145554292
Buy 28380  AGOG @ 63.04 #+15145555889
Buy 39820  AGOG @ 60.37 #+15145551688
Sell 42060  AGOG @ 59.64 #+15145550951
Sell 38120  AGOG @ 58.77 #+15145559692
Buy 41230  AGOG @ 58.35 #+15145551272
Buy 28810  AGOG @ 61.93 #+15145553694
Buy 38150  AGOG @ 58.52 #+15145554563
Sell 31910  AGOG @ 63.45 #+15145556465
Buy 18550  AGOG @ 60.79 #+15145559444
Sell 27290  AGOG @ 62.25 #+15145555783
Sell 52340  AGOG @ 61.16 #+15145557396
Sell 46660  AGOG @ 62.18 #+15145558598
Sell 22970  AGOG @ 60.58 #+15145556762
Buy 24760  AGOG @ 62.06 #+15145554618
Buy 20740  AGOG @ 63.97 #+15145552050
Sell 20170  AGOG @ 61.14 #+15145558931
Buy 25670  AGOG @ 58.57 #+15145558972
Sell 14780  AGOG @ 61.55 #+15145554056
Buy 13770  AGOG @ 59.15 #+15145552717
Sell 16040  AGOG @ 61.2 #+15145552603
Buy 9820  AGOG @ 61.41 #+15145553598
Buy 24860  AGOG @ 58.24 #+15145551071
Buy 24090  AGOG @ 64.59 #+15145557145
Buy 21030  AGOG @ 61.62 #+15145557607
Buy 26540  AGOG @ 61.85 #+15145552924
Sell 27730  AGOG @ 62.67 #+15145554419
Sell 37870  AGOG @ 58.19 #+15145553490
Buy 15120  AGOG @ 60.53 #+15145558302
Buy 23780  AGOG @ 58.63 #+15145550796
Sell 20240  AGOG @ 62.22 #+15145557456
Buy 28570  AGOG @ 62.44 #+15145555496
Sell 26070  AGOG @ 62.16 #+15145552552
Buy 11440  AGOG @ 62.48 #+15145558976
Sell 19230  AGOG @ 63.06 #+15145555134
Sell 21170  AGOG @ 63.15 #+15145554847
Buy 14660  AGOG @ 63.14 #+15145557705
Sell 15250  AGOG @ 67.61 #+15145554539
Buy 23990  AGOG @ 66.63 #+15145559277
Buy 17920  AGOG @ 62.9 #+15145553053
Buy 23230  AGOG @ 63.63 #+15145554755
Buy 19480  AGOG @ 63.08 #+15145552875
Buy 24170  AGOG @ 62.18 #+15145553508
Buy 9240  AGOG @ 62.49 #+15145555509
Sell 23320  AGOG @ 63.03 #+15145556145
Buy 25670  AGOG @ 61.25 #+15145554148
Buy 33060  AGOG @ 63.63 #+15145551694
Buy 53010  AGOG @ 63.85 #+15145555095
Buy 27920  AGOG @ 60.95 #+15145559856
Sell 38150  AGOG @ 64.95 #+15145555454
Buy 34120  AGOG @ 62.72 #+15145551983
Buy 31260  AGOG @ 62.87 #+15145556570
Sell 45190  AGOG @ 62.98 #+15145556193
Sell 58160  AGOG @ 62.33 #+15145557239
Buy 57060  AGOG @ 63.19 #+15145553513
Sell 63660  AGOG @ 62.76 #+15145558208
Sell 43520  AGOG @ 66.05 #+15145555137
Sell 34090  AGOG @ 67.8 #+15145554632
Buy 26910  AGOG @ 67.37 #+15145553237
Buy 34760  AGOG @ 66.39 #+15145555776
Sell 52410  AGOG @ 67.69 #+15145555609
Buy 83680  AGOG @ 66.96 #+15145557057
Sell 66010  AGOG @ 67.99 #+15145555180
Buy 38700  AGOG @ 72.34 #+15145552763
Sell 33600  AGOG @ 69.68 #+15145550985
Buy 45400  AGOG @ 66.73 #+15145553730
Buy 27750  AGOG @ 65.19 #+15145553525
Buy 41930  AGOG @ 66.31 #+15145559809
Sell 28150  AGOG @ 65.07 #+15145553570
Sell 75060  AGOG @ 65.12 #+15145553184
Sell 56270  AGOG @ 62.15 #+15145554728
Sell 22990  AGOG @ 62.87 #+15145558372
Sell 22130  AGOG @ 63.23 #+15145559458
Sell 25290  AGOG @ 66.33 #+15145550832
Buy 14840  AGOG @ 63.42 #+15145554790
Sell 19530  AGOG @ 64.09 #+15145559286
Sell 15060  AGOG @ 64.51 #+15145554613
Buy 28380  AGOG @ 63.74 #+15145556828
Buy 19200  AGOG @ 62.33 #+15145551539
Sell 18050  AGOG @ 62.84 #+15145552080
Sell 15130  AGOG @ 62.68 #+15145556427
Buy 16930  AGOG @ 66.15 #+15145559135
Buy 22150  AGOG @ 61.95 #+15145558649
Sell 21360  AGOG @ 61.81 #+15145556220
Buy 18690  AGOG @ 64.28 #+15145553698
Buy 33720  AGOG @ 62.6 #+15145553306
Buy 27590  AGOG @ 61.66 #+15145556122
Buy 53070  AGOG @ 61.03 #+15145553013
Buy 17310  AGOG @ 61.34 #+15145556820
Sell 25860  AGOG @ 60.92 #+15145557056
Sell 28120  AGOG @ 61.37 #+15145552353
Sell 20590  AGOG @ 59.97 #+15145551150
Sell 28860  AGOG @ 60.08 #+15145553649
Sell 10300  AGOG @ 61.74 #+15145559323
Buy 16550  AGOG @ 57.94 #+15145550648
Buy 17200  AGOG @ 58.58 #+15145552891
Sell 15240  AGOG @ 54.95 #+15145558199
Buy 12590  AGOG @ 58.18 #+15145551444
Buy 13920  AGOG @ 58.46 #+15145552286
Sell 23070  AGOG @ 57.47 #+15145555394
Sell 43590  AGOG @ 58.87 #+15145552294
Sell 13050  AGOG @ 58.67 #+15145551917
Buy 18170  AGOG @ 57.51 #+15145550334
Sell 24590  AGOG @ 57.36 #+15145554388
Sell 18030  AGOG @ 56.42 #+15145552513
Sell 16520  AGOG @ 56.76 #+15145559008
Sell 11190  AGOG @ 57.25 #+15145555466
Buy 15600  AGOG @ 57.65 #+15145553147
Buy 18760  AGOG @ 57.71 #+15145552876
Buy 25960  AGOG @ 55.65 #+15145552429
Sell 13330  AGOG @ 59.05 #+15145552519
Sell 19520  AGOG @ 57.79 #+15145550401
Buy 29650  AGOG @ 57.62 #+15145554629
Sell 18760  AGOG @ 56.61 #+15145556461
Sell 18700  AGOG @ 57.62 #+15145550119
Sell 21310  AGOG @ 58.1 #+15145557370
Buy 22930  AGOG @ 58.63 #+15145552999
Sell 24050  AGOG @ 58.2 #+15145553118
Buy 17190  AGOG @ 58.59 #+15145550328
Buy 20070  AGOG @ 58.43 #+15145555377
Buy 28940  AGOG @ 55.17 #+15145556302
Sell 19700  AGOG @ 57.08 #+15145550915
Sell 21090  AGOG @ 56.95 #+15145550382
Buy 22030  AGOG @ 57.45 #+15145552301
Sell 21570  AGOG @ 55.38 #+15145557468
Buy 20970  AGOG @ 57.57 #+15145557899
Sell 35780  AGOG @ 57.91 #+15145552091
Sell 33370  AGOG @ 57.6 #+15145558840
Sell 21880  AGOG @ 56.21 #+15145556949
Sell 28980  AGOG @ 58.53 #+15145558896
Sell 26630  AGOG @ 57.78 #+15145558683
Buy 38050  AGOG @ 58.77 #+15145555212
Buy 29530  AGOG @ 59.15 #+15145555374
Buy 65120  AGOG @ 59.42 #+15145552453
Sell 53650  AGOG @ 58.48 #+15145556672
Sell 30800  AGOG @ 62.53 #+15145558643
Buy 18520  AGOG @ 64.15 #+15145558650
Sell 20080  AGOG @ 62.01 #+15145556777
Buy 21970  AGOG @ 57.49 #+15145555933
Buy 24630  AGOG @ 60.2 #+15145553684
Sell 17510  AGOG @ 58.58 #+15145555180
Buy 12280  AGOG @ 60.61 #+15145554609
Buy 16070  AGOG @ 60.52 #+15145552266
Sell 11640  AGOG @ 60.36 #+15145550341
Sell 21010  AGOG @ 60.97 #+15145558663
Sell 13840  AGOG @ 61.15 #+15145555987
Buy 17120  AGOG @ 60.42 #+15145555160
Sell 13990  AGOG @ 61.11 #+15145559318
Buy 25320  AGOG @ 60.75 #+15145555636
Buy 21230  AGOG @ 61.53 #+15145555443
Sell 33790  AGOG @ 60.27 #+15145552365
Sell 17880  AGOG @ 60.49 #+15145555521
Sell 33490  AGOG @ 60.75 #+15145550150
Sell 65960  AGOG @ 56.99 #+15145559561
Sell 70910  AGOG @ 60.89 #+15145553916
Sell 23810  AGOG @ 61.09 #+15145557614
Buy 18910  AGOG @ 60.36 #+15145556018
Buy 31210  AGOG @ 60.22 #+15145553591
Sell 22200  AGOG @ 60.11 #+15145558012
Buy 14850  AGOG @ 59.9 #+15145553492
Sell 18610  AGOG @ 59.23 #+15145554440
Sell 34230  AGOG @ 60.96 #+15145552120
Sell 33500  AGOG @ 59.92 #+15145556508
Buy 20490  AGOG @ 60.75 #+15145558621
Sell 13420  AGOG @ 61.84 #+15145556716
Buy 12390  AGOG @ 61.6 #+15145559960
