Sell 5250  BOOMY @ 98.82 #+15145555318  
Buy 9180  BOOMY @ 26.14 #+15145556369   
Sell 12410  BOOMY @ 26.02 #+15145555635 
Sell 13440  BOOMY @ 26.11 #+15145551793 
Buy 17780  BOOMY @ 26.1 #+15145554406   
Sell 8420  BOOMY @ 25.97 #+15145557823  
Sell 10220  BOOMY @ 26 #+15145554290    
Sell 6350  BOOMY @ 25.88 #+15145558662  
Sell 6760  BOOMY @ 26.03 #+15145556225  
Sell 13550  BOOMY @ 26.11 #+15145556320 
Sell 12810  BOOMY @ 26.52 #+15145559107 
Buy 10970  BOOMY @ 26.44 #+15145559589  
Sell 10680  BOOMY @ 26.49 #+15145557093 
Buy 9100  BOOMY @ 26.71 #+15145556536   
Sell 8410  BOOMY @ 26.57 #+15145557587  
Sell 19770  BOOMY @ 26.73 #+15145558339 
Buy 15930  BOOMY @ 26.46 #+15145552147  
Buy 6440  BOOMY @ 26.64 #+15145550553   
Sell 11380  BOOMY @ 26.88 #+15145553299 
Sell 11170  BOOMY @ 27.01 #+15145558513 
Buy 8700  BOOMY @ 26.99 #+15145556984   
Buy 9220  BOOMY @ 26.78 #+15145551498   
Sell 15620  BOOMY @ 26.77 #+15145555186 
Sell 13150  BOOMY @ 26.7 #+15145556877  
Sell 10180  BOOMY @ 26.69 #+15145553363 
Buy 5120  BOOMY @ 26.54 #+15145556578   
Buy 5310  BOOMY @ 26.78 #+15145550032   
Sell 9260  BOOMY @ 26.91 #+15145553948  
Sell 9980  BOOMY @ 26.94 #+15145552728  
Buy 8920  BOOMY @ 26.97 #+15145551403   
Buy 12340  BOOMY @ 26.98 #+15145550980  
Buy 17410  BOOMY @ 26.88 #+15145551351  
Sell 12270  BOOMY @ 26.92 #+15145551409 
Sell 5660  BOOMY @ 27.12 #+15145556055  
Sell 5750  BOOMY @ 27.48 #+15145550486  
Sell 7150  BOOMY @ 27.7 #+15145557431   
Buy 12270  BOOMY @ 27.61 #+15145557459  
Buy 8030  BOOMY @ 27.51 #+15145553017   
Sell 13910  BOOMY @ 27.15 #+15145555420 
Buy 12910  BOOMY @ 27.2 #+15145550950   
Sell 7070  BOOMY @ 27.06 #+15145556809  
Sell 12040  BOOMY @ 26.96 #+15145554394 
Buy 5950  BOOMY @ 27.29 #+15145552323   
Buy 6810  BOOMY @ 27.43 #+15145558730   
Sell 7930  BOOMY @ 27.41 #+15145558585  
Buy 9870  BOOMY @ 27.62 #+15145551589   
Sell 6520  BOOMY @ 27.63 #+15145555450  
Buy 2210  BOOMY @ 27.4 #+15145554033    
Sell 5970  BOOMY @ 27.42 #+15145554588  
Sell 8160  BOOMY @ 27.69 #+15145558459  
Sell 7480  BOOMY @ 27.55 #+15145554308  
Sell 9860  BOOMY @ 27.5 #+15145555636   
Sell 5820  BOOMY @ 27.39 #+15145559364  
Buy 5550  BOOMY @ 27.51 #+15145551842   
Buy 4400  BOOMY @ 27.42 #+15145559942   
Buy 14080  BOOMY @ 27.62 #+15145553393  
Buy 3970  BOOMY @ 27.61 #+15145552451   
Buy 7470  BOOMY @ 27.47 #+15145558154   
Sell 7480  BOOMY @ 27.53 #+15145551213  
Buy 5670  BOOMY @ 27.27 #+15145556956   
Sell 7670  BOOMY @ 27.23 #+15145554644  
Buy 13380  BOOMY @ 27.35 #+15145553580  
Sell 10600  BOOMY @ 27.44 #+15145558542 
Buy 14820  BOOMY @ 27.47 #+15145552747  
Sell 17080  BOOMY @ 27.46 #+15145554058 
Sell 9010  BOOMY @ 27.68 #+15145558757  
Sell 16650  BOOMY @ 27.67 #+15145557764 
Buy 20600  BOOMY @ 27.97 #+15145556704  
Sell 15960  BOOMY @ 28.1 #+15145553416  
Sell 9560  BOOMY @ 28.29 #+15145558028  
Sell 14730  BOOMY @ 28.26 #+15145555863 
Buy 10500  BOOMY @ 28.28 #+15145557145  
Buy 5720  BOOMY @ 28.34 #+15145550300   
Buy 7610  BOOMY @ 28.3 #+15145552195    
Sell 8940  BOOMY @ 28.09 #+15145555501  
Buy 11680  BOOMY @ 28.2 #+15145552441   
Sell 5640  BOOMY @ 27.99 #+15145556464  
Buy 3040  BOOMY @ 27.66 #+15145557329   
Sell 10990  BOOMY @ 27.55 #+15145552199 
Sell 7020  BOOMY @ 27.77 #+15145555244  
Buy 10670  BOOMY @ 27.59 #+15145558637  
Buy 10410  BOOMY @ 27.63 #+15145554625  
Sell 12430  BOOMY @ 27.49 #+15145559893 
Buy 15120  BOOMY @ 27.25 #+15145550567  
Buy 11860  BOOMY @ 27.36 #+15145558881  
Buy 9310  BOOMY @ 27.09 #+15145558251   
Buy 5740  BOOMY @ 27.04 #+15145551784   
Buy 8120  BOOMY @ 26.95 #+15145559229   
Sell 12820  BOOMY @ 26.72 #+15145559131 
Buy 4990  BOOMY @ 26.77 #+15145550243   
Buy 8200  BOOMY @ 26.78 #+15145554881   
Buy 10070  BOOMY @ 26.45 #+15145559046  
Sell 9230  BOOMY @ 26.08 #+15145557814  
Sell 10680  BOOMY @ 26.18 #+15145551771 
Buy 6480  BOOMY @ 26.2 #+15145555976    
Sell 14380  BOOMY @ 26.1 #+15145556520  
Buy 17930  BOOMY @ 25.98 #+15145554321  
Buy 9780  BOOMY @ 25.92 #+15145552760   
Buy 7780  BOOMY @ 25.85 #+15145555422   
Sell 11350  BOOMY @ 25.85 #+15145552577 
Sell 13020  BOOMY @ 25.89 #+15145553283 
Sell 10080  BOOMY @ 26.16 #+15145553084 
Sell 12130  BOOMY @ 26.26 #+15145554941 
Sell 15380  BOOMY @ 26.07 #+15145555445 
Buy 19600  BOOMY @ 25.95 #+15145556449  
Sell 13520  BOOMY @ 25.58 #+15145559687 
Buy 5310  BOOMY @ 25.75 #+15145553326   
Buy 6170  BOOMY @ 25.63 #+15145557055   
Buy 4200  BOOMY @ 25.67 #+15145552691   
Buy 8580  BOOMY @ 25.78 #+15145552216   
Buy 11210  BOOMY @ 25.89 #+15145554962  
Buy 5720  BOOMY @ 25.82 #+15145551099   
Buy 5760  BOOMY @ 26.01 #+15145551555   
Buy 5000  BOOMY @ 26.19 #+15145559174   
Sell 6890  BOOMY @ 26.45 #+15145555377  
Sell 13340  BOOMY @ 26.41 #+15145558703 
Sell 8570  BOOMY @ 26.37 #+15145557837  
Buy 10610  BOOMY @ 26.54 #+15145556179  
Buy 7320  BOOMY @ 26.37 #+15145557756   
Buy 10110  BOOMY @ 26.44 #+15145555843  
Sell 10710  BOOMY @ 26.41 #+15145558242 
Buy 6490  BOOMY @ 26.49 #+15145551998   
Buy 5260  BOOMY @ 26.64 #+15145556909   
Sell 8370  BOOMY @ 26.72 #+15145556040  
Sell 4150  BOOMY @ 26.75 #+15145556205  
Sell 14320  BOOMY @ 26.85 #+15145553002 
Buy 6540  BOOMY @ 26.89 #+15145550471   
Buy 11360  BOOMY @ 26.65 #+15145555431  
Sell 12910  BOOMY @ 26.87 #+15145557412 
Buy 11620  BOOMY @ 26.97 #+15145555080  
Buy 12190  BOOMY @ 27.1 #+15145559965   
Buy 10430  BOOMY @ 27.01 #+15145555501  
Buy 11970  BOOMY @ 27.3 #+15145556822   
Sell 12740  BOOMY @ 27.25 #+15145557383 
Buy 6290  BOOMY @ 27.32 #+15145553272   
Sell 18360  BOOMY @ 27.16 #+15145554958 
Sell 10530  BOOMY @ 27.19 #+15145558542 
Buy 15430  BOOMY @ 26.96 #+15145555878  
Buy 16040  BOOMY @ 26.84 #+15145550762  
Buy 10100  BOOMY @ 27.25 #+15145551576  
Sell 8210  BOOMY @ 26.75 #+15145556307  
Buy 11640  BOOMY @ 27 #+15145553404     
Buy 12100  BOOMY @ 27.17 #+15145553456  
Sell 9670  BOOMY @ 27.03 #+15145553042  
Sell 7760  BOOMY @ 26.88 #+15145559344  
Buy 8380  BOOMY @ 26.88 #+15145554194   
Sell 13330  BOOMY @ 27.02 #+15145555065 
Buy 13680  BOOMY @ 27.01 #+15145552038  
Sell 13360  BOOMY @ 26.99 #+15145557898 
Sell 13330  BOOMY @ 27.01 #+15145551727 
Sell 14430  BOOMY @ 27.23 #+15145559744 
Sell 17160  BOOMY @ 27.07 #+15145550101 
Sell 29690  BOOMY @ 27.09 #+15145552916 
Buy 19380  BOOMY @ 27.24 #+15145550246  
Buy 21000  BOOMY @ 27.19 #+15145555528  
Sell 19880  BOOMY @ 27.31 #+15145553576 
Sell 23540  BOOMY @ 27.24 #+15145555031 
Buy 16160  BOOMY @ 26.9 #+15145552610   
Buy 16630  BOOMY @ 27.17 #+15145558042  
Buy 20430  BOOMY @ 27.01 #+15145555219  
Sell 18430  BOOMY @ 26.99 #+15145557394 
Sell 6920  BOOMY @ 26.97 #+15145559861  
Sell 8080  BOOMY @ 26.85 #+15145554931  
Sell 15570  BOOMY @ 27.18 #+15145550448 
Buy 12320  BOOMY @ 27.13 #+15145558472  
Buy 15830  BOOMY @ 27.18 #+15145557215  
Buy 26330  BOOMY @ 26.76 #+15145555997  
Sell 24890  BOOMY @ 26.96 #+15145552187 
Sell 18190  BOOMY @ 26.63 #+15145552211 
Sell 12700  BOOMY @ 26.92 #+15145551810 
Sell 12360  BOOMY @ 26.98 #+15145550690 
Sell 15480  BOOMY @ 27.13 #+15145555499 
Buy 14170  BOOMY @ 27.5 #+15145554297   
Buy 6210  BOOMY @ 27.64 #+15145551317   
Sell 7620  BOOMY @ 27.84 #+15145559405  
Buy 12440  BOOMY @ 27.6 #+15145551394   
Sell 9250  BOOMY @ 27.5 #+15145555758   
Buy 4830  BOOMY @ 27.57 #+15145556484   
Sell 10690  BOOMY @ 27.51 #+15145552088 
Buy 4040  BOOMY @ 27.68 #+15145553842   
Buy 9690  BOOMY @ 27.92 #+15145552573   
Sell 14430  BOOMY @ 27.79 #+15145559729 
Sell 10590  BOOMY @ 27.92 #+15145555029 
Buy 5910  BOOMY @ 27.63 #+15145557585   
Buy 7030  BOOMY @ 27.28 #+15145556048   
Sell 13350  BOOMY @ 27.1 #+15145552223  
Sell 10490  BOOMY @ 27 #+15145552552    
Buy 7220  BOOMY @ 26.97 #+15145554298   
Buy 13590  BOOMY @ 26.58 #+15145558248  
Sell 20450  BOOMY @ 26.13 #+15145556021 
Buy 16560  BOOMY @ 25.98 #+15145551692  
Sell 14090  BOOMY @ 25.92 #+15145554741 
Buy 15160  BOOMY @ 25.84 #+15145557482  
Buy 9950  BOOMY @ 26.2 #+15145555339    
Sell 9590  BOOMY @ 26.06 #+15145550709  
Buy 7450  BOOMY @ 26.02 #+15145552823   
Sell 14600  BOOMY @ 26.1 #+15145557453  
Sell 11530  BOOMY @ 26.28 #+15145553803 
Buy 10320  BOOMY @ 26.52 #+15145551282  
Buy 6450  BOOMY @ 26.7 #+15145556513    
Sell 5950  BOOMY @ 26.58 #+15145550327  
Sell 7990  BOOMY @ 26.58 #+15145553415  
Sell 11710  BOOMY @ 26.56 #+15145551074 
Buy 10070  BOOMY @ 26.52 #+15145553486  
Sell 16330  BOOMY @ 26.61 #+15145557728 
Buy 15110  BOOMY @ 26.53 #+15145559716  
Buy 9720  BOOMY @ 26.36 #+15145559883   
Sell 14620  BOOMY @ 26.53 #+15145553113 
Sell 25850  BOOMY @ 26.76 #+15145556839 
Sell 7860  BOOMY @ 26.7 #+15145554292   
Buy 10050  BOOMY @ 26.66 #+15145555459  
Sell 17720  BOOMY @ 26.42 #+15145556806 
Buy 22300  BOOMY @ 26.83 #+15145553666  
Buy 13780  BOOMY @ 27.14 #+15145555981  
Sell 9860  BOOMY @ 27.13 #+15145558375  
Sell 26430  BOOMY @ 26.97 #+15145550009 
Sell 17160  BOOMY @ 26.89 #+15145553398 
Sell 22100  BOOMY @ 26.97 #+15145559215 
Sell 18560  BOOMY @ 27.02 #+15145553113 
Sell 12820  BOOMY @ 26.91 #+15145551758 
Sell 11710  BOOMY @ 27.18 #+15145555825 
Buy 15900  BOOMY @ 27.19 #+15145556946  
Sell 22750  BOOMY @ 27.28 #+15145559861 
Buy 12840  BOOMY @ 27.33 #+15145558982  
Buy 15680  BOOMY @ 27.2 #+15145556986   
Sell 10090  BOOMY @ 27.39 #+15145557663 
Buy 11900  BOOMY @ 27.45 #+15145557362  
Buy 13900  BOOMY @ 27.26 #+15145559291  
Sell 10210  BOOMY @ 27.58 #+15145555361 
Sell 12460  BOOMY @ 27.74 #+15145551723 
Buy 17920  BOOMY @ 27.82 #+15145554197  
Buy 24730  BOOMY @ 27.74 #+15145556238  
Sell 15540  BOOMY @ 27.64 #+15145554295 
Sell 14900  BOOMY @ 27.68 #+15145550308 
Buy 14960  BOOMY @ 27.63 #+15145551615  
Buy 14870  BOOMY @ 27.63 #+15145556782  
Sell 7820  BOOMY @ 27.77 #+15145554878  
Sell 9870  BOOMY @ 28.03 #+15145555125  
Sell 4800  BOOMY @ 28.08 #+15145555030  
Buy 15860  BOOMY @ 28.28 #+15145559487  
Sell 7370  BOOMY @ 28.15 #+15145556365  
Sell 13600  BOOMY @ 27.86 #+15145553879 
Sell 15700  BOOMY @ 27.91 #+15145556574 
Buy 12930  BOOMY @ 27.86 #+15145557314  
Buy 21590  BOOMY @ 28.1 #+15145559725   
Buy 10360  BOOMY @ 28.19 #+15145553281  
Sell 10910  BOOMY @ 28.57 #+15145550813 
Sell 12420  BOOMY @ 28.45 #+15145559053 
Sell 8380  BOOMY @ 28.72 #+15145557098  
Buy 9160  BOOMY @ 28.7 #+15145557436    
Sell 9510  BOOMY @ 28.74 #+15145550696  
Sell 7630  BOOMY @ 28.6 #+15145555578   
Buy 5390  BOOMY @ 28.76 #+15145553382   
Sell 9320  BOOMY @ 29.13 #+15145556081  
Sell 8910  BOOMY @ 29.24 #+15145558196  
Sell 12580  BOOMY @ 29.16 #+15145553454 
Sell 10310  BOOMY @ 29.03 #+15145552674 
Buy 4640  BOOMY @ 28.88 #+15145557664   
Sell 10660  BOOMY @ 28.97 #+15145555906 
Buy 18410  BOOMY @ 29.02 #+15145559926  
Buy 15040  BOOMY @ 29.04 #+15145551238  
Sell 22220  BOOMY @ 28.94 #+15145558315 
Sell 15100  BOOMY @ 29.32 #+15145555232 
Buy 10390  BOOMY @ 29.43 #+15145552346  
Buy 10310  BOOMY @ 29.54 #+15145552228  
Sell 8870  BOOMY @ 29.34 #+15145559059  
Sell 11000  BOOMY @ 29.14 #+15145559462 
Sell 11680  BOOMY @ 29.29 #+15145554762 
Buy 6090  BOOMY @ 29.19 #+15145551879   
Sell 10360  BOOMY @ 29.05 #+15145559924 
Sell 20310  BOOMY @ 28.87 #+15145552811 
Sell 11310  BOOMY @ 29.06 #+15145551639 
Buy 4860  BOOMY @ 28.98 #+15145553455   
Buy 13280  BOOMY @ 29.22 #+15145555275  
Buy 12430  BOOMY @ 29.5 #+15145551926   
Sell 11570  BOOMY @ 29.46 #+15145554983 
Buy 17200  BOOMY @ 29.36 #+15145559912  
Sell 11520  BOOMY @ 29.28 #+15145558249 
Sell 13070  BOOMY @ 29.53 #+15145554543 
Sell 17760  BOOMY @ 29.47 #+15145550903 
Buy 10690  BOOMY @ 29.51 #+15145550932  
Buy 10480  BOOMY @ 29.51 #+15145557435  
Sell 12220  BOOMY @ 29.6 #+15145551768  
Sell 8300  BOOMY @ 29.52 #+15145557126  
Sell 14240  BOOMY @ 29.64 #+15145558314 
Buy 11300  BOOMY @ 29.36 #+15145552833  
Sell 12590  BOOMY @ 29.19 #+15145557560 
Sell 10210  BOOMY @ 29.03 #+15145558091 
Sell 10980  BOOMY @ 28.94 #+15145556573 
Buy 12780  BOOMY @ 28.79 #+15145553720  
Sell 20380  BOOMY @ 28.66 #+15145551038 
Buy 23790  BOOMY @ 28.89 #+15145554371  
Sell 10500  BOOMY @ 28.76 #+15145553504 
Buy 17290  BOOMY @ 28.7 #+15145558167   
Sell 13620  BOOMY @ 28.81 #+15145559570 
Sell 7920  BOOMY @ 28.83 #+15145559057  
Buy 15060  BOOMY @ 29.09 #+15145553307  
Sell 8970  BOOMY @ 29.03 #+15145552502  
Sell 14570  BOOMY @ 29.02 #+15145559052 
Sell 14210  BOOMY @ 28.7 #+15145558685  
Sell 12000  BOOMY @ 28.76 #+15145558014 
Buy 6180  BOOMY @ 28.68 #+15145550949   
Buy 8610  BOOMY @ 28.5 #+15145550472    
Sell 7810  BOOMY @ 28.29 #+15145559651  
Sell 14070  BOOMY @ 28.71 #+15145553507 
Sell 10830  BOOMY @ 28.89 #+15145556732 
Sell 12740  BOOMY @ 28.52 #+15145550658 
Buy 10650  BOOMY @ 28.82 #+15145551812  
Sell 8700  BOOMY @ 28.7 #+15145554020   
Buy 8760  BOOMY @ 28.98 #+15145555834   
Buy 7370  BOOMY @ 29.36 #+15145557754   
Buy 10610  BOOMY @ 29.31 #+15145550397  
Buy 16390  BOOMY @ 29.76 #+15145554035  
Buy 9650  BOOMY @ 29.76 #+15145550309   
Sell 12280  BOOMY @ 29.86 #+15145556700 
Buy 8860  BOOMY @ 29.79 #+15145555251   
Buy 6240  BOOMY @ 29.81 #+15145554945   
Sell 7950  BOOMY @ 29.67 #+15145556260  
Buy 10540  BOOMY @ 29.44 #+15145550057  
Sell 13230  BOOMY @ 29.48 #+15145554947 
Sell 13890  BOOMY @ 29.67 #+15145552917 
Sell 12410  BOOMY @ 30 #+15145555419    
Buy 14210  BOOMY @ 29.97 #+15145559444  
Buy 11140  BOOMY @ 29.92 #+15145553410  
Buy 7160  BOOMY @ 30.08 #+15145558360   
Buy 10770  BOOMY @ 30.22 #+15145555612  
Sell 6100  BOOMY @ 30.21 #+15145557610  
Buy 19750  BOOMY @ 30.43 #+15145557239  
Buy 11710  BOOMY @ 30.16 #+15145556708  
Sell 14130  BOOMY @ 30.09 #+15145554646 
Sell 11810  BOOMY @ 30.04 #+15145554733 
Sell 8580  BOOMY @ 30 #+15145558764     
Sell 5870  BOOMY @ 30.27 #+15145556695  
Buy 11040  BOOMY @ 30.33 #+15145551783  
Sell 17360  BOOMY @ 30.42 #+15145559694 
Sell 8690  BOOMY @ 30.23 #+15145550381  
Buy 14060  BOOMY @ 30.34 #+15145559609  
Sell 9020  BOOMY @ 30.18 #+15145555397  
Buy 9200  BOOMY @ 30.1 #+15145550054    
Buy 10830  BOOMY @ 30.04 #+15145554059  
Sell 20910  BOOMY @ 29.9 #+15145554401  
Sell 12030  BOOMY @ 29.94 #+15145554996 
Buy 3000  BOOMY @ 29.99 #+15145550869   
Buy 14240  BOOMY @ 29.92 #+15145550901  
Sell 7310  BOOMY @ 29.85 #+15145555419  
Sell 14460  BOOMY @ 29.61 #+15145553695 
Sell 14670  BOOMY @ 29.54 #+15145556529 
Sell 14700  BOOMY @ 29.42 #+15145552064 
Buy 13340  BOOMY @ 29.48 #+15145556666  
Sell 17800  BOOMY @ 29.47 #+15145551233 
Buy 18890  BOOMY @ 29.61 #+15145559939  
Buy 20090  BOOMY @ 29.64 #+15145551691  
Buy 14460  BOOMY @ 29.42 #+15145550220  
Sell 9930  BOOMY @ 29.38 #+15145555896  
Buy 12000  BOOMY @ 29.49 #+15145550312  
Sell 11170  BOOMY @ 29.45 #+15145558806 
Buy 15990  BOOMY @ 29.34 #+15145550347  
Buy 8490  BOOMY @ 29.27 #+15145559956   
Buy 10360  BOOMY @ 29.2 #+15145550399   
Buy 6340  BOOMY @ 29.04 #+15145550231   
Buy 5750  BOOMY @ 28.82 #+15145551094   
Sell 9170  BOOMY @ 29 #+15145554643     
Buy 11430  BOOMY @ 29.14 #+15145556949  
Sell 9000  BOOMY @ 29.09 #+15145558543  
Buy 4650  BOOMY @ 29.1 #+15145551733    
Sell 5110  BOOMY @ 29.03 #+15145559724  
Sell 15030  BOOMY @ 29.19 #+15145558960 
Sell 12390  BOOMY @ 29.17 #+15145557636 
Buy 5590  BOOMY @ 29.11 #+15145556823   
Sell 11640  BOOMY @ 28.85 #+15145557865 
Sell 8810  BOOMY @ 28.67 #+15145557629  
Sell 12550  BOOMY @ 28.61 #+15145556977 
Sell 4530  BOOMY @ 28.61 #+15145556998  
Buy 11980  BOOMY @ 28.52 #+15145559669  
Sell 16970  BOOMY @ 28.37 #+15145558507 
Sell 18190  BOOMY @ 28.35 #+15145554446 
Sell 20530  BOOMY @ 28.22 #+15145550706 
Buy 12440  BOOMY @ 28.11 #+15145552319  
Buy 12120  BOOMY @ 28.08 #+15145553870  
Sell 8960  BOOMY @ 28.05 #+15145553952  
Buy 15150  BOOMY @ 28.03 #+15145555816  
Sell 15350  BOOMY @ 27.97 #+15145552555 
Sell 11080  BOOMY @ 27.9 #+15145556128  
Buy 8560  BOOMY @ 27.73 #+15145557935   
Buy 9430  BOOMY @ 27.5 #+15145552721    
Buy 10560  BOOMY @ 27.8 #+15145554246   
Buy 8240  BOOMY @ 27.89 #+15145558018   
Sell 16130  BOOMY @ 27.67 #+15145558568 
Buy 13310  BOOMY @ 27.46 #+15145553231  
Buy 15660  BOOMY @ 27.21 #+15145557047  
Buy 10710  BOOMY @ 27.05 #+15145556394  
Sell 7330  BOOMY @ 27.28 #+15145552980  
Buy 13410  BOOMY @ 27.12 #+15145552898  
Sell 7590  BOOMY @ 26.95 #+15145559284  
Buy 7330  BOOMY @ 27.02 #+15145559879   
Buy 10250  BOOMY @ 27.11 #+15145558953  
Buy 13280  BOOMY @ 27.27 #+15145551049  
Buy 12460  BOOMY @ 27.16 #+15145554455  
Buy 17750  BOOMY @ 27.15 #+15145554574  
Buy 16420  BOOMY @ 27.13 #+15145553878  
Buy 11860  BOOMY @ 27.14 #+15145550141  
Sell 8710  BOOMY @ 26.95 #+15145550915  
Buy 16880  BOOMY @ 27.08 #+15145553129  
Buy 11140  BOOMY @ 27.09 #+15145554850  
Buy 12250  BOOMY @ 27.28 #+15145557114  
Buy 20070  BOOMY @ 27.39 #+15145554553  
Buy 20950  BOOMY @ 27.19 #+15145550689  
Buy 23450  BOOMY @ 26.91 #+15145556807  
Buy 27170  BOOMY @ 27.16 #+15145554963  
Buy 16430  BOOMY @ 26.84 #+15145551216  
Sell 23540  BOOMY @ 27.07 #+15145555107 
Buy 23080  BOOMY @ 26.8 #+15145559038   
Sell 27900  BOOMY @ 26.74 #+15145551820 
Buy 12580  BOOMY @ 26.65 #+15145559499  
Sell 21770  BOOMY @ 26.78 #+15145556427 
Buy 20910  BOOMY @ 26.79 #+15145557913  
Buy 31460  BOOMY @ 26.67 #+15145558191  
Buy 13730  BOOMY @ 26.96 #+15145555144  
Sell 7060  BOOMY @ 26.64 #+15145551274  
Buy 10420  BOOMY @ 26.27 #+15145559332  
Sell 13920  BOOMY @ 26.17 #+15145555317 
Sell 9700  BOOMY @ 26.15 #+15145557603  
Sell 15720  BOOMY @ 25.83 #+15145550879 
Buy 20500  BOOMY @ 25.79 #+15145556201  
Sell 15990  BOOMY @ 25.74 #+15145556178 
Sell 17500  BOOMY @ 25.76 #+15145551449 
Buy 11280  BOOMY @ 25.86 #+15145557080  
Sell 10120  BOOMY @ 25.87 #+15145556227 
Sell 18520  BOOMY @ 25.8 #+15145554677  
Buy 15890  BOOMY @ 25.92 #+15145554297  
Buy 19290  BOOMY @ 25.97 #+15145550757  
Buy 20210  BOOMY @ 25.94 #+15145557220  
Buy 17630  BOOMY @ 26.03 #+15145557504  
Sell 21550  BOOMY @ 25.97 #+15145555660 
Sell 30000  BOOMY @ 26.09 #+15145552263 
Buy 26250  BOOMY @ 26.25 #+15145551735  
Buy 14790  BOOMY @ 26.26 #+15145551144  
Sell 18470  BOOMY @ 26.36 #+15145556698 
Buy 17550  BOOMY @ 26.57 #+15145557618  
Sell 32370  BOOMY @ 26.74 #+15145551836 
Buy 27270  BOOMY @ 26.63 #+15145559720  
Buy 25550  BOOMY @ 26.64 #+15145551025  
Buy 36300  BOOMY @ 26.87 #+15145554140  
Buy 16780  BOOMY @ 26.96 #+15145553543  
Buy 19380  BOOMY @ 27.25 #+15145556103  
Sell 15760  BOOMY @ 27.25 #+15145555839 
Buy 20410  BOOMY @ 27.4 #+15145558107   
Buy 23130  BOOMY @ 27.26 #+15145552162  
Sell 27090  BOOMY @ 27.23 #+15145554919 
Sell 21270  BOOMY @ 27.11 #+15145551433 
Sell 24070  BOOMY @ 27.19 #+15145550031 
Buy 20820  BOOMY @ 27.28 #+15145553159  
Sell 21200  BOOMY @ 27.26 #+15145555668 
Buy 22830  BOOMY @ 27.07 #+15145558057  
Sell 26750  BOOMY @ 27.23 #+15145550372 
Buy 36910  BOOMY @ 27.01 #+15145552951  
Buy 27480  BOOMY @ 27.02 #+15145553843  
Sell 18340  BOOMY @ 27.09 #+15145557703 
Buy 27770  BOOMY @ 27.35 #+15145559561  
Sell 43510  BOOMY @ 27.21 #+15145551435 
Buy 21870  BOOMY @ 26.99 #+15145558314  
Sell 36010  BOOMY @ 26.77 #+15145558731 
Buy 37120  BOOMY @ 26.85 #+15145553192  
Sell 34410  BOOMY @ 26.81 #+15145550687 
Sell 32360  BOOMY @ 27.15 #+15145552512 
Sell 29390  BOOMY @ 26.85 #+15145551173 
Sell 11760  BOOMY @ 26.96 #+15145555472 
Sell 20270  BOOMY @ 26.93 #+15145558652 
Sell 16050  BOOMY @ 26.82 #+15145559762 
Sell 13700  BOOMY @ 26.97 #+15145552359 
Buy 18740  BOOMY @ 26.74 #+15145555997  
Buy 16750  BOOMY @ 26.75 #+15145558876  
Sell 26130  BOOMY @ 26.49 #+15145555380 
Buy 20430  BOOMY @ 26.59 #+15145552703  
Buy 8680  BOOMY @ 26.23 #+15145554032   
Buy 22940  BOOMY @ 26.4 #+15145553980   
Buy 16410  BOOMY @ 26.36 #+15145553148  
Sell 20670  BOOMY @ 26.37 #+15145556292 
Buy 29350  BOOMY @ 26.27 #+15145558233  
Sell 21390  BOOMY @ 25.97 #+15145552691 
Sell 21550  BOOMY @ 25.76 #+15145558811 
Sell 33830  BOOMY @ 25.88 #+15145559153 
Buy 25870  BOOMY @ 25.92 #+15145554606  
Sell 26130  BOOMY @ 26.04 #+15145556538 
Sell 35340  BOOMY @ 26 #+15145559177    
Sell 26310  BOOMY @ 25.68 #+15145554758 
Buy 18590  BOOMY @ 25.52 #+15145550447  
Buy 16690  BOOMY @ 25.42 #+15145557475  
Sell 22810  BOOMY @ 25.41 #+15145552483 
Sell 19680  BOOMY @ 25.58 #+15145552722 
Buy 16710  BOOMY @ 25.55 #+15145554022  
Sell 12700  BOOMY @ 25.56 #+15145552790 
Buy 15910  BOOMY @ 25.42 #+15145553092  
Sell 15840  BOOMY @ 25.42 #+15145557800 
Sell 19350  BOOMY @ 25.33 #+15145552333 
Sell 21210  BOOMY @ 25.29 #+15145555870 
Sell 26730  BOOMY @ 25.25 #+15145559968 
Buy 25130  BOOMY @ 25.11 #+15145551515  
Sell 20570  BOOMY @ 24.73 #+15145558656 
Buy 18220  BOOMY @ 25 #+15145551716     
Buy 17750  BOOMY @ 24.83 #+15145554561  
Sell 30460  BOOMY @ 24.32 #+15145556388 
Buy 32890  BOOMY @ 24.23 #+15145559780  
Sell 9770  BOOMY @ 24.71 #+15145551896  
Buy 16890  BOOMY @ 24.3 #+15145559117   
Sell 30390  BOOMY @ 24.44 #+15145553194 
Buy 33920  BOOMY @ 24.43 #+15145557324  
Buy 16450  BOOMY @ 24.3 #+15145553996   
Buy 24660  BOOMY @ 24.07 #+15145553662  
Sell 10480  BOOMY @ 23.86 #+15145557272 
Sell 20970  BOOMY @ 23.94 #+15145550162 
Buy 27170  BOOMY @ 23.98 #+15145552984  
Sell 27460  BOOMY @ 23.91 #+15145558431 
Buy 16260  BOOMY @ 23.9 #+15145550215   
Buy 12560  BOOMY @ 23.83 #+15145556381  
Sell 21660  BOOMY @ 23.96 #+15145557769 
Buy 20470  BOOMY @ 23.92 #+15145557021  
Sell 12090  BOOMY @ 24 #+15145552165    
Sell 70800  BOOMY @ 23.98 #+15145556968 
