Buy 8850  AUKV @ 91.77 #+15145559425
Buy 16420  AUKV @ 120.01 #+15145559597
Sell 21810  AUKV @ 118.43 #+15145555532
Buy 11660  AUKV @ 117.71 #+15145555169
Sell 17690  AUKV @ 122.89 #+15145555910
Sell 8800  AUKV @ 126.09 #+15145551093
Buy 27140  AUKV @ 120.27 #+15145554130
Sell 26860  AUKV @ 120.31 #+15145558220
Buy 19480  AUKV @ 120.78 #+15145559411
Sell 23800  AUKV @ 125.26 #+15145556665
Buy 23120  AUKV @ 125.56 #+15145558293
Buy 39690  AUKV @ 124.59 #+15145552679
Buy 42600  AUKV @ 129.08 #+15145554920
Sell 35050  AUKV @ 128.6 #+15145558588
Buy 26270  AUKV @ 124.04 #+15145556301
Sell 24120  AUKV @ 123.48 #+15145550096
Buy 21700  AUKV @ 121.38 #+15145558830
Sell 26470  AUKV @ 122.56 #+15145555929
Sell 15640  AUKV @ 122.68 #+15145552924
Buy 33540  AUKV @ 118.15 #+15145555226
Buy 45750  AUKV @ 118.42 #+15145555295
Sell 36760  AUKV @ 113.72 #+15145559697
Sell 41310  AUKV @ 113.26 #+15145552981
Buy 44650  AUKV @ 111.89 #+15145559894
Sell 42720  AUKV @ 114.33 #+15145556321
Buy 45330  AUKV @ 114.81 #+15145559233
Buy 33560  AUKV @ 112.27 #+15145550311
Sell 24520  AUKV @ 109.56 #+15145554554
Sell 51860  AUKV @ 107.8 #+15145557408
Sell 72290  AUKV @ 111.99 #+15145551762
Sell 75370  AUKV @ 108.88 #+15145551849
Sell 44530  AUKV @ 106.17 #+15145553726
Sell 41360  AUKV @ 108.26 #+15145556440
Sell 19340  AUKV @ 105.95 #+15145556790
Sell 17660  AUKV @ 104.38 #+15145552309
Sell 14980  AUKV @ 104.87 #+15145552181
Sell 37940  AUKV @ 101.08 #+15145558283
Sell 40020  AUKV @ 100.76 #+15145550908
Sell 21610  AUKV @ 98.99 #+15145558942
Sell 26610  AUKV @ 97.45 #+15145554828
Buy 44140  AUKV @ 96.23 #+15145550403
Buy 45030  AUKV @ 97.94 #+15145553055
Buy 51240  AUKV @ 96.41 #+15145558955
Sell 44100  AUKV @ 90.75 #+15145556016
Buy 42250  AUKV @ 91.91 #+15145551809
Sell 30840  AUKV @ 90.05 #+15145558811
Buy 14350  AUKV @ 94.56 #+15145554522
Buy 7520  AUKV @ 92.93 #+15145556317
Sell 7870  AUKV @ 92.76 #+15145558131
Buy 17590  AUKV @ 92.78 #+15145550652
Sell 16020  AUKV @ 92.58 #+15145559303
Buy 20150  AUKV @ 90.34 #+15145552935
Sell 34060  AUKV @ 90.79 #+15145551846
Sell 20520  AUKV @ 92.14 #+15145555393
Sell 27670  AUKV @ 90.75 #+15145557245
Sell 20940  AUKV @ 94.37 #+15145554087
Buy 10630  AUKV @ 95.61 #+15145554476
Buy 13870  AUKV @ 94.18 #+15145555982
Buy 14020  AUKV @ 95.33 #+15145550889
Sell 14360  AUKV @ 97.07 #+15145558379
Buy 26290  AUKV @ 96.09 #+15145557896
Sell 61860  AUKV @ 96.86 #+15145556628
Buy 24440  AUKV @ 98.04 #+15145555444
Sell 16730  AUKV @ 98.69 #+15145556755
Sell 14650  AUKV @ 96.72 #+15145556861
Buy 6000  AUKV @ 95.52 #+15145559390
Buy 10680  AUKV @ 94.84 #+15145554141
Buy 9530  AUKV @ 98.23 #+15145551191
Sell 11950  AUKV @ 99.67 #+15145552478
Sell 12530  AUKV @ 101.28 #+15145554787
Sell 7290  AUKV @ 101.47 #+15145553171
Buy 6050  AUKV @ 102.33 #+15145551544
Buy 13050  AUKV @ 101.4 #+15145557098
Sell 9350  AUKV @ 98.99 #+15145556383
Buy 14510  AUKV @ 98.54 #+15145551433
Buy 5920  AUKV @ 98.53 #+15145557477
Buy 290  AUKV @ 100.62 #+15145555024
Sell 7190  AUKV @ 100.93 #+15145554943
Buy 9950  AUKV @ 102.14 #+15145558366
Buy 15740  AUKV @ 100.06 #+15145553744
Buy 16060  AUKV @ 106.3 #+15145551469
Sell 6410  AUKV @ 107.05 #+15145558192
Sell 12260  AUKV @ 107.45 #+15145557936
Buy 5150  AUKV @ 106.94 #+15145551770
Buy 12510  AUKV @ 108.01 #+15145559919
Buy 9450  AUKV @ 108.21 #+15145559914
Buy 9990  AUKV @ 109.3 #+15145559296
Sell 10380  AUKV @ 108.62 #+15145557894
Sell 4910  AUKV @ 103.61 #+15145557205
Sell 2590  AUKV @ 101.61 #+15145555916
Buy 5630  AUKV @ 100.43 #+15145559319
Buy 10530  AUKV @ 100.32 #+15145551816
Buy 6010  AUKV @ 100.62 #+15145558351
Buy 6280  AUKV @ 100.83 #+15145552806
Sell 10380  AUKV @ 101.12 #+15145550866
Sell 3510  AUKV @ 99.94 #+15145557373
Sell 5880  AUKV @ 95.88 #+15145556338
Buy 7930  AUKV @ 98.29 #+15145554128
Buy 6150  AUKV @ 99.41 #+15145554937
Buy 2830  AUKV @ 96.78 #+15145550437
Buy 7360  AUKV @ 97.38 #+15145553991
Sell 13400  AUKV @ 97.43 #+15145550700
Sell 4890  AUKV @ 97.78 #+15145550721
Sell 9600  AUKV @ 100.33 #+15145551988
Buy 9430  AUKV @ 102.41 #+15145553691
Sell 11560  AUKV @ 103.06 #+15145556229
Buy 8300  AUKV @ 103.48 #+15145550634
Buy 8890  AUKV @ 102.92 #+15145550839
Buy 9860  AUKV @ 105.42 #+15145556498
Sell 5170  AUKV @ 102.89 #+15145559252
Buy 8100  AUKV @ 103.29 #+15145552433
Sell 5000  AUKV @ 102.47 #+15145556118
Sell 8540  AUKV @ 97.17 #+15145551754
Sell 5130  AUKV @ 94.77 #+15145555000
Buy 8690  AUKV @ 94.42 #+15145554504
Sell 5650  AUKV @ 93.82 #+15145559465
Sell 5900  AUKV @ 95.56 #+15145552881
Sell 7450  AUKV @ 95.07 #+15145554657
Sell 9300  AUKV @ 96.21 #+15145557515
Sell 8520  AUKV @ 98.21 #+15145550789
Buy 11230  AUKV @ 96.91 #+15145558470
Sell 12620  AUKV @ 95.72 #+15145555515
Buy 12390  AUKV @ 91.94 #+15145553436
Sell 8770  AUKV @ 89.77 #+15145556936
Sell 9300  AUKV @ 91.59 #+15145559167
Buy 6500  AUKV @ 92.76 #+15145554919
Sell 10470  AUKV @ 94.3 #+15145553020
Sell 7600  AUKV @ 94.33 #+15145559679
Buy 6990  AUKV @ 94.8 #+15145558443
Sell 3820  AUKV @ 95.46 #+15145557806
Buy 4610  AUKV @ 95.38 #+15145559565
Sell 6930  AUKV @ 97.71 #+15145556881
Buy 5910  AUKV @ 98.53 #+15145559173
Buy 13710  AUKV @ 99.31 #+15145553799
Sell 7480  AUKV @ 97.32 #+15145553752
Buy 10780  AUKV @ 97.97 #+15145554156
Sell 14290  AUKV @ 97.96 #+15145557088
Sell 9060  AUKV @ 100 #+15145557898
Buy 7050  AUKV @ 99.3 #+15145556509
Sell 14690  AUKV @ 98.52 #+15145558316
Sell 10490  AUKV @ 101.1 #+15145555944
Sell 12780  AUKV @ 99.7 #+15145555684
Buy 6510  AUKV @ 98.53 #+15145552139
Buy 3270  AUKV @ 96.53 #+15145554508
Buy 10600  AUKV @ 97.74 #+15145556141
Sell 8150  AUKV @ 96.66 #+15145557618
Buy 7970  AUKV @ 96.39 #+15145553333
Sell 12820  AUKV @ 93.18 #+15145551820
Buy 6430  AUKV @ 92.98 #+15145555997
Sell 10520  AUKV @ 93.88 #+15145554523
Buy 12070  AUKV @ 95.18 #+15145559026
Sell 3490  AUKV @ 93.56 #+15145551373
Sell 12720  AUKV @ 93.95 #+15145553441
Buy 7400  AUKV @ 92.5 #+15145556548
Sell 2750  AUKV @ 93.33 #+15145552847
Buy 11720  AUKV @ 93.82 #+15145555388
Sell 7300  AUKV @ 92.72 #+15145552170
Sell 14300  AUKV @ 94.36 #+15145556659
Sell 7530  AUKV @ 96.6 #+15145557463
Buy 12230  AUKV @ 95.65 #+15145557057
Buy 12790  AUKV @ 95.79 #+15145556492
Buy 8050  AUKV @ 96.61 #+15145556919
Sell 10180  AUKV @ 97 #+15145556187
Sell 8820  AUKV @ 97.28 #+15145555182
Sell 16380  AUKV @ 97.55 #+15145556284
Sell 15250  AUKV @ 99.93 #+15145557163
Buy 18550  AUKV @ 96.63 #+15145553404
Sell 8730  AUKV @ 97.57 #+15145555040
Sell 22730  AUKV @ 97.36 #+15145550986
Buy 7680  AUKV @ 98.84 #+15145557751
Buy 6930  AUKV @ 104.2 #+15145556060
Sell 3640  AUKV @ 102.77 #+15145550424
Sell 9760  AUKV @ 102.45 #+15145553826
Sell 2950  AUKV @ 102.28 #+15145558190
Buy 9620  AUKV @ 106.28 #+15145555669
Sell 13730  AUKV @ 103.33 #+15145559238
Sell 12750  AUKV @ 104.07 #+15145552146
Sell 11990  AUKV @ 101.83 #+15145556100
Sell 8200  AUKV @ 101.62 #+15145558639
Buy 6830  AUKV @ 104.37 #+15145551172
Sell 12660  AUKV @ 106.09 #+15145552007
Sell 12940  AUKV @ 102.82 #+15145556319
Sell 19210  AUKV @ 101.91 #+15145551823
Sell 7450  AUKV @ 103.26 #+15145557692
Sell 2110  AUKV @ 101.01 #+15145558348
Sell 11310  AUKV @ 102.2 #+15145556185
Sell 5670  AUKV @ 100.65 #+15145556589
Sell 8210  AUKV @ 101.29 #+15145554359
Sell 13140  AUKV @ 101.55 #+15145550563
Buy 13340  AUKV @ 102.88 #+15145552439
Sell 10500  AUKV @ 103.52 #+15145556745
Buy 14080  AUKV @ 100.25 #+15145555320
Sell 6480  AUKV @ 97.26 #+15145557967
Buy 20170  AUKV @ 101.56 #+15145558235
Buy 17060  AUKV @ 100.39 #+15145555468
Buy 4650  AUKV @ 99.08 #+15145550029
Buy 3870  AUKV @ 101.69 #+15145551949
Sell 11500  AUKV @ 104.82 #+15145552747
Sell 10200  AUKV @ 107.03 #+15145552254
Sell 14330  AUKV @ 107.54 #+15145555226
Buy 14650  AUKV @ 108.98 #+15145557709
Sell 14350  AUKV @ 109.47 #+15145550437
Sell 10860  AUKV @ 109.4 #+15145558453
Sell 9670  AUKV @ 108.93 #+15145555497
Buy 14070  AUKV @ 110.59 #+15145559852
Buy 11490  AUKV @ 112.52 #+15145550759
Buy 11940  AUKV @ 115.61 #+15145554717
Buy 8120  AUKV @ 119.99 #+15145554700
Sell 11030  AUKV @ 121.49 #+15145556269
Buy 22130  AUKV @ 122.43 #+15145559819
Buy 14130  AUKV @ 124.76 #+15145550176
Sell 13800  AUKV @ 126.59 #+15145556527
Buy 9410  AUKV @ 125.43 #+15145552245
Buy 6040  AUKV @ 124.66 #+15145552382
Sell 13600  AUKV @ 122.31 #+15145557866
Sell 13230  AUKV @ 125.8 #+15145556208
Buy 12990  AUKV @ 125.57 #+15145553781
Sell 4680  AUKV @ 122.17 #+15145554023
Sell 3260  AUKV @ 123.09 #+15145559552
Sell 8340  AUKV @ 121.74 #+15145552361
Sell 8870  AUKV @ 121.37 #+15145551098
Buy 6260  AUKV @ 122.91 #+15145556447
Sell 3580  AUKV @ 121.34 #+15145550716
Buy 8950  AUKV @ 117.07 #+15145554597
Sell 5140  AUKV @ 115.11 #+15145552241
Sell 10820  AUKV @ 114.84 #+15145555515
Sell 6280  AUKV @ 113.27 #+15145557520
Buy 15960  AUKV @ 115.38 #+15145552357
Sell 3120  AUKV @ 115.29 #+15145555566
Buy 4970  AUKV @ 112.58 #+15145555845
Sell 3910  AUKV @ 115.47 #+15145554668
Buy 9920  AUKV @ 113.35 #+15145556227
Buy 9740  AUKV @ 114.46 #+15145554344
Buy 15150  AUKV @ 113.37 #+15145553195
Buy 11150  AUKV @ 113.62 #+15145559124
Buy 13060  AUKV @ 113.52 #+15145551780
Sell 15000  AUKV @ 115.55 #+15145550311
Sell 5730  AUKV @ 120.01 #+15145559848
Sell 8710  AUKV @ 119.37 #+15145553411
Sell 13410  AUKV @ 120.61 #+15145558193
Buy 12060  AUKV @ 123.26 #+15145559115
Buy 15200  AUKV @ 125.21 #+15145550509
Buy 13000  AUKV @ 122.35 #+15145551996
Sell 12790  AUKV @ 119.13 #+15145553350
Buy 9700  AUKV @ 119.09 #+15145556080
Sell 20790  AUKV @ 119.22 #+15145550594
Sell 21830  AUKV @ 121.63 #+15145551571
Buy 8620  AUKV @ 126.36 #+15145555461
Sell 13420  AUKV @ 127.56 #+15145556936
Sell 10220  AUKV @ 129.81 #+15145550929
Buy 10300  AUKV @ 128.37 #+15145557299
Buy 13240  AUKV @ 129.56 #+15145552816
Sell 6400  AUKV @ 133.83 #+15145559572
Buy 7850  AUKV @ 131.89 #+15145556335
Sell 8560  AUKV @ 129.3 #+15145556912
Sell 9750  AUKV @ 133.83 #+15145556483
Buy 6260  AUKV @ 136.67 #+15145553455
Buy 5710  AUKV @ 141.3 #+15145559116
Buy 3760  AUKV @ 147.7 #+15145557420
Sell 7380  AUKV @ 143.91 #+15145551662
Buy 10400  AUKV @ 151.02 #+15145553692
Sell 9590  AUKV @ 144.19 #+15145558655
Buy 8710  AUKV @ 135.16 #+15145552887
Sell 13590  AUKV @ 131.65 #+15145559065
Sell 7390  AUKV @ 132.34 #+15145555783
Sell 6690  AUKV @ 135.72 #+15145552974
Buy 12560  AUKV @ 136.68 #+15145552838
Buy 8690  AUKV @ 137.37 #+15145554662
Sell 10140  AUKV @ 136.64 #+15145556361
Sell 7120  AUKV @ 130.75 #+15145558783
Buy 5340  AUKV @ 134.23 #+15145552695
Buy 13290  AUKV @ 137.81 #+15145559421
Buy 10190  AUKV @ 134.71 #+15145550317
Buy 9380  AUKV @ 134.25 #+15145557111
Sell 20580  AUKV @ 130.19 #+15145551392
Sell 13070  AUKV @ 134.51 #+15145557067
Buy 13370  AUKV @ 131.27 #+15145556662
Buy 13750  AUKV @ 132.58 #+15145552765
Sell 12700  AUKV @ 136.43 #+15145553943
Buy 13060  AUKV @ 134.85 #+15145552884
Buy 10900  AUKV @ 134.54 #+15145558388
Sell 12680  AUKV @ 130.99 #+15145559410
Sell 13270  AUKV @ 131.69 #+15145553424
Buy 12110  AUKV @ 133.05 #+15145550920
Buy 12910  AUKV @ 125.82 #+15145555046
Sell 5410  AUKV @ 126.75 #+15145556709
Sell 9760  AUKV @ 128.81 #+15145554094
Buy 7580  AUKV @ 130.11 #+15145559658
Buy 12740  AUKV @ 131.85 #+15145559967
Sell 13960  AUKV @ 129.55 #+15145554816
Sell 9800  AUKV @ 131.23 #+15145550108
Sell 14580  AUKV @ 132.96 #+15145552015
Sell 4020  AUKV @ 136.39 #+15145557277
Buy 17640  AUKV @ 132.42 #+15145552838
Buy 8610  AUKV @ 130.93 #+15145556496
Sell 10140  AUKV @ 129.77 #+15145551491
Buy 12280  AUKV @ 138.26 #+15145557893
Buy 14770  AUKV @ 144.65 #+15145555822
Sell 14270  AUKV @ 138.9 #+15145557237
Sell 10710  AUKV @ 138.23 #+15145555215
Buy 14180  AUKV @ 139.41 #+15145553284
Sell 4240  AUKV @ 140.75 #+15145556345
Sell 8930  AUKV @ 137.38 #+15145554137
Sell 14080  AUKV @ 133.42 #+15145551169
Buy 6900  AUKV @ 140.68 #+15145558100
Buy 17800  AUKV @ 139.03 #+15145552048
Sell 14720  AUKV @ 145.53 #+15145550188
Sell 10510  AUKV @ 147.27 #+15145550769
Buy 9800  AUKV @ 150.02 #+15145557339
Sell 4170  AUKV @ 154.54 #+15145556269
Buy 8970  AUKV @ 159.28 #+15145556591
Buy 15350  AUKV @ 160.44 #+15145558071
Sell 8800  AUKV @ 160.36 #+15145551562
Buy 12560  AUKV @ 162.2 #+15145554765
Sell 8790  AUKV @ 168.88 #+15145552588
Sell 5880  AUKV @ 165.79 #+15145557575
Buy 9500  AUKV @ 167.22 #+15145552362
Buy 16110  AUKV @ 165.59 #+15145559981
Buy 10670  AUKV @ 162.79 #+15145558293
Buy 7820  AUKV @ 160.44 #+15145554561
Sell 5500  AUKV @ 158.25 #+15145552763
Buy 8920  AUKV @ 154.79 #+15145557670
Sell 10790  AUKV @ 149.78 #+15145553698
Sell 8740  AUKV @ 152.72 #+15145551291
Buy 15100  AUKV @ 159.53 #+15145551963
Sell 9860  AUKV @ 159.23 #+15145550380
Buy 6450  AUKV @ 155.65 #+15145558904
Sell 13240  AUKV @ 159.62 #+15145556564
Sell 7940  AUKV @ 156.68 #+15145556648
Sell 13010  AUKV @ 152.54 #+15145557213
Sell 28260  AUKV @ 154.92 #+15145551081
Sell 15050  AUKV @ 157.13 #+15145559370
Buy 13490  AUKV @ 155.27 #+15145554060
Sell 24220  AUKV @ 154.96 #+15145555187
Buy 15780  AUKV @ 154.5 #+15145551894
Buy 19710  AUKV @ 151.02 #+15145553201
Buy 15740  AUKV @ 153.73 #+15145553946
Buy 15320  AUKV @ 157.4 #+15145552308
Buy 13920  AUKV @ 154.05 #+15145556073
Buy 15550  AUKV @ 150.42 #+15145556997
Sell 11220  AUKV @ 157.31 #+15145556283
Sell 13290  AUKV @ 164.46 #+15145551609
Sell 15850  AUKV @ 159.46 #+15145552967
Buy 16180  AUKV @ 166.38 #+15145559809
Buy 25840  AUKV @ 164.9 #+15145556421
Sell 21320  AUKV @ 166.55 #+15145550495
Buy 11550  AUKV @ 169.55 #+15145556087
Sell 7820  AUKV @ 172.59 #+15145559452
Sell 9170  AUKV @ 171 #+15145555662
Sell 10220  AUKV @ 168.07 #+15145554967
Sell 9840  AUKV @ 163.26 #+15145551008
Sell 12610  AUKV @ 161.98 #+15145555489
Sell 14820  AUKV @ 160.5 #+15145550410
Sell 10850  AUKV @ 162.55 #+15145556566
Sell 12010  AUKV @ 160.11 #+15145551203
Sell 11850  AUKV @ 162.86 #+15145552893
Sell 10890  AUKV @ 162.84 #+15145555913
Buy 5380  AUKV @ 162.33 #+15145552699
Buy 8520  AUKV @ 161.72 #+15145555951
Sell 9290  AUKV @ 163.53 #+15145552205
Buy 8880  AUKV @ 160.94 #+15145556844
Buy 9260  AUKV @ 157.57 #+15145555391
Sell 9540  AUKV @ 149.64 #+15145556600
Sell 11570  AUKV @ 149.83 #+15145550254
Sell 13160  AUKV @ 151.19 #+15145554430
Buy 11290  AUKV @ 155.44 #+15145557735
Sell 10220  AUKV @ 157.72 #+15145552669
Sell 18950  AUKV @ 154.38 #+15145555703
Sell 8270  AUKV @ 158.87 #+15145553856
Sell 18820  AUKV @ 156.44 #+15145558408
Buy 15670  AUKV @ 156.48 #+15145554238
Buy 15620  AUKV @ 155.03 #+15145550145
Buy 6610  AUKV @ 155.67 #+15145557100
Sell 12370  AUKV @ 156.25 #+15145551779
Buy 10790  AUKV @ 157.87 #+15145557491
Sell 9490  AUKV @ 153.77 #+15145550682
Buy 13370  AUKV @ 152.31 #+15145559692
Buy 5450  AUKV @ 148.98 #+15145551248
Buy 5220  AUKV @ 151.58 #+15145555605
Sell 9090  AUKV @ 148.55 #+15145553153
Buy 14620  AUKV @ 146.79 #+15145559075
Buy 6290  AUKV @ 143.34 #+15145552620
Sell 14950  AUKV @ 148.5 #+15145555731
Buy 12520  AUKV @ 148.77 #+15145558698
Buy 13090  AUKV @ 151.8 #+15145551230
Buy 13570  AUKV @ 148.96 #+15145550531
Sell 20810  AUKV @ 145.03 #+15145551422
Buy 9700  AUKV @ 145.11 #+15145553797
Buy 6960  AUKV @ 140.97 #+15145559742
Sell 11230  AUKV @ 139.67 #+15145551511
Sell 19530  AUKV @ 135.42 #+15145555532
Sell 17930  AUKV @ 141.9 #+15145557036
Sell 11230  AUKV @ 143.05 #+15145551503
Sell 28190  AUKV @ 142.14 #+15145551535
Sell 14270  AUKV @ 142.56 #+15145558910
Buy 24670  AUKV @ 138.63 #+15145552400
Buy 19060  AUKV @ 142.81 #+15145557699
Buy 14660  AUKV @ 139.6 #+15145558329
Sell 12150  AUKV @ 138.92 #+15145559201
Buy 12620  AUKV @ 134.75 #+15145555214
Sell 28270  AUKV @ 139.15 #+15145553010
Sell 17040  AUKV @ 137.41 #+15145550795
Buy 14690  AUKV @ 137.94 #+15145556420
Buy 3970  AUKV @ 139.65 #+15145557289
Buy 4150  AUKV @ 135.77 #+15145550634
Sell 14860  AUKV @ 135.47 #+15145554847
Sell 12110  AUKV @ 133.22 #+15145554735
Buy 10920  AUKV @ 134.02 #+15145553677
Buy 20650  AUKV @ 134.63 #+15145552996
Buy 22280  AUKV @ 134.49 #+15145555329
Buy 13070  AUKV @ 132.76 #+15145557642
Sell 17240  AUKV @ 128.69 #+15145551475
Sell 13390  AUKV @ 128.01 #+15145557150
Sell 7550  AUKV @ 128.19 #+15145551962
Sell 11710  AUKV @ 131.8 #+15145557150
Buy 10780  AUKV @ 129.46 #+15145551694
Buy 5140  AUKV @ 129.42 #+15145556743
Buy 14430  AUKV @ 129.73 #+15145552871
Sell 14520  AUKV @ 129.85 #+15145551342
Buy 11840  AUKV @ 129.81 #+15145552269
Buy 15570  AUKV @ 127.19 #+15145554798
Buy 18320  AUKV @ 132.24 #+15145551188
Buy 25780  AUKV @ 134.15 #+15145553994
Sell 7600  AUKV @ 133.21 #+15145557325
Buy 11240  AUKV @ 138.03 #+15145557885
Buy 12620  AUKV @ 142.07 #+15145556861
Sell 15290  AUKV @ 141.51 #+15145555103
Buy 7960  AUKV @ 137.89 #+15145555677
Sell 11370  AUKV @ 132.4 #+15145559008
Sell 14430  AUKV @ 132.31 #+15145556458
Buy 9880  AUKV @ 135.37 #+15145552483
Sell 4650  AUKV @ 134.71 #+15145556290
Sell 11930  AUKV @ 134.5 #+15145553033
Sell 7550  AUKV @ 134.3 #+15145556626
Buy 6470  AUKV @ 131.98 #+15145556759
Sell 4000  AUKV @ 133.9 #+15145551840
Sell 8900  AUKV @ 139.18 #+15145553613
Buy 13830  AUKV @ 138.12 #+15145554209
Sell 16490  AUKV @ 135.97 #+15145556832
Buy 16090  AUKV @ 138.01 #+15145554408
Sell 14630  AUKV @ 138.96 #+15145550722
Sell 8340  AUKV @ 139.43 #+15145552063
Buy 5430  AUKV @ 135.28 #+15145559471
Sell 12020  AUKV @ 134.16 #+15145557735
Sell 12770  AUKV @ 129.67 #+15145552106
Sell 8250  AUKV @ 128.55 #+15145558465
Buy 9830  AUKV @ 124.7 #+15145551615
Buy 11960  AUKV @ 120.97 #+15145550541
Buy 13310  AUKV @ 125.71 #+15145553055
Buy 16480  AUKV @ 122.87 #+15145551767
Sell 3690  AUKV @ 128.77 #+15145553221
Sell 10060  AUKV @ 128.45 #+15145559928
Buy 7580  AUKV @ 127.53 #+15145559095
Buy 11840  AUKV @ 128.01 #+15145559146
Sell 16170  AUKV @ 126.31 #+15145550662
Buy 11350  AUKV @ 122.56 #+15145556358
Buy 12350  AUKV @ 121.65 #+15145550050
Buy 11830  AUKV @ 125.17 #+15145555905
Sell 16180  AUKV @ 126.44 #+15145555925
Buy 13330  AUKV @ 129.31 #+15145551537
Sell 16970  AUKV @ 130.21 #+15145557033
Buy 14750  AUKV @ 127.78 #+15145558421
Buy 14880  AUKV @ 123.75 #+15145555952
Buy 15870  AUKV @ 124.39 #+15145554038
Sell 15490  AUKV @ 127.92 #+15145552573
Buy 12550  AUKV @ 126.89 #+15145557281
Buy 8160  AUKV @ 123.05 #+15145556600
Buy 11490  AUKV @ 122.53 #+15145558480
Buy 17270  AUKV @ 120.69 #+15145553756
Buy 20660  AUKV @ 119.84 #+15145553413
Sell 7130  AUKV @ 120.74 #+15145553325
Buy 13910  AUKV @ 121.55 #+15145557989
Sell 18800  AUKV @ 120.62 #+15145557467
Sell 13690  AUKV @ 124.95 #+15145552981
Buy 9440  AUKV @ 124.11 #+15145553940
Sell 9940  AUKV @ 123.71 #+15145553994
Buy 20660  AUKV @ 127.27 #+15145553463
Sell 9730  AUKV @ 124.8 #+15145554732
Sell 7940  AUKV @ 127.29 #+15145552084
Sell 9090  AUKV @ 121.93 #+15145557868
Sell 9160  AUKV @ 119.4 #+15145552203
Sell 5980  AUKV @ 119.41 #+15145558843
Buy 9830  AUKV @ 122.68 #+15145553742
Buy 10310  AUKV @ 123.19 #+15145551400
Sell 9620  AUKV @ 123.43 #+15145555192
Sell 10360  AUKV @ 124.61 #+15145555633
Buy 12260  AUKV @ 125.35 #+15145550532
Buy 13320  AUKV @ 124.86 #+15145552339
Buy 6360  AUKV @ 126.38 #+15145551486
Buy 10760  AUKV @ 122.2 #+15145550323
Buy 14340  AUKV @ 120.58 #+15145553192
Sell 14400  AUKV @ 120.72 #+15145559029
Sell 10850  AUKV @ 120.76 #+15145556238
Sell 14130  AUKV @ 120.08 #+15145554413
Buy 3390  AUKV @ 118.87 #+15145551200
Sell 6090  AUKV @ 116.35 #+15145550362
Buy 3360  AUKV @ 113.08 #+15145558623
Buy 13090  AUKV @ 112.82 #+15145553769
Buy 7980  AUKV @ 112.85 #+15145557749
Sell 11990  AUKV @ 113.32 #+15145556455
Sell 10810  AUKV @ 116.49 #+15145552560
Buy 5240  AUKV @ 117.15 #+15145559806
Buy 6680  AUKV @ 119.81 #+15145550331
Buy 4420  AUKV @ 118.71 #+15145552344
Buy 11120  AUKV @ 119.74 #+15145550844
Buy 12090  AUKV @ 119.21 #+15145551885
Buy 14820  AUKV @ 124.52 #+15145558387
Buy 14410  AUKV @ 126.59 #+15145550318
Sell 9610  AUKV @ 126.44 #+15145557205
Sell 10630  AUKV @ 132.45 #+15145551605
Sell 8310  AUKV @ 132.41 #+15145550685
Buy 12130  AUKV @ 129 #+15145554521
Sell 16500  AUKV @ 130.03 #+15145552569
Buy 11850  AUKV @ 125.52 #+15145555617
Buy 10700  AUKV @ 127.31 #+15145554299
Buy 7920  AUKV @ 132.39 #+15145552730
Buy 14190  AUKV @ 138.84 #+15145556682
Buy 10710  AUKV @ 135.1 #+15145553011
Buy 11440  AUKV @ 134.98 #+15145556954
Buy 11200  AUKV @ 135.02 #+15145559116
Sell 7160  AUKV @ 130.87 #+15145555369
Buy 5450  AUKV @ 132 #+15145555180
Sell 14160  AUKV @ 128.76 #+15145553223
Buy 18060  AUKV @ 124.16 #+15145559361
Sell 15200  AUKV @ 126.94 #+15145555258
Sell 18050  AUKV @ 126.29 #+15145553363
Sell 14680  AUKV @ 121.34 #+15145555095
Buy 17380  AUKV @ 125.65 #+15145557898
Sell 23060  AUKV @ 126.07 #+15145550845
Buy 21690  AUKV @ 122.65 #+15145558276
Buy 10480  AUKV @ 120.46 #+15145559357
Buy 14370  AUKV @ 117.88 #+15145559752
Sell 14000  AUKV @ 118.95 #+15145556225
Buy 7070  AUKV @ 118.04 #+15145552807
Sell 14520  AUKV @ 111.47 #+15145550233
Sell 12770  AUKV @ 112.38 #+15145557245
Sell 9600  AUKV @ 112.12 #+15145551976
Buy 8450  AUKV @ 111.58 #+15145556945
Sell 13930  AUKV @ 110.11 #+15145556025
Buy 16900  AUKV @ 103.69 #+15145557237
Sell 5580  AUKV @ 107.36 #+15145552544
Buy 7790  AUKV @ 106.18 #+15145555515
Buy 12490  AUKV @ 109.27 #+15145556466
Sell 13930  AUKV @ 109.35 #+15145558710
Sell 8050  AUKV @ 111.92 #+15145556150
Buy 10850  AUKV @ 110.84 #+15145554799
Buy 4240  AUKV @ 110.36 #+15145552359
Buy 6320  AUKV @ 112.33 #+15145558079
Buy 12880  AUKV @ 112.54 #+15145554251
Buy 10710  AUKV @ 116.96 #+15145558152
Buy 11650  AUKV @ 118.01 #+15145556270
Sell 6620  AUKV @ 117.74 #+15145550248
Buy 10870  AUKV @ 115.78 #+15145558899
Sell 18130  AUKV @ 118.63 #+15145558263
Buy 14010  AUKV @ 117.24 #+15145554625
Sell 13800  AUKV @ 115.07 #+15145558993
Buy 13200  AUKV @ 116.39 #+15145557559
Sell 6770  AUKV @ 118.59 #+15145554528
Sell 12380  AUKV @ 120.52 #+15145550612
Buy 14910  AUKV @ 123.66 #+15145557459
