Sell 5590  AVAB @ 91.77 #+15145554734
Buy 17630  AVAB @ 120.01 #+15145559787
Sell 23310  AVAB @ 118.43 #+15145558697
Buy 16680  AVAB @ 117.71 #+15145558552
Buy 13130  AVAB @ 122.89 #+15145558398
Sell 8380  AVAB @ 126.09 #+15145550977
Sell 26760  AVAB @ 120.27 #+15145553511
Buy 25610  AVAB @ 120.31 #+15145559722
Buy 26550  AVAB @ 120.78 #+15145559835
Sell 23420  AVAB @ 125.26 #+15145558150
Sell 23940  AVAB @ 125.56 #+15145557706
Buy 36060  AVAB @ 124.59 #+15145555056
Sell 39900  AVAB @ 129.08 #+15145556707
Sell 33810  AVAB @ 128.6 #+15145559949
Sell 26870  AVAB @ 124.04 #+15145552559
Sell 17000  AVAB @ 123.48 #+15145550107
Sell 21760  AVAB @ 121.38 #+15145558962
Sell 27130  AVAB @ 122.56 #+15145555987
Sell 15950  AVAB @ 122.68 #+15145554158
Buy 36670  AVAB @ 118.15 #+15145552959
Buy 41030  AVAB @ 118.42 #+15145554552
Buy 34590  AVAB @ 113.72 #+15145558740
Sell 33410  AVAB @ 113.26 #+15145554647
Buy 40150  AVAB @ 111.89 #+15145555844
Buy 37890  AVAB @ 114.33 #+15145559252
Buy 40040  AVAB @ 114.81 #+15145550582
Buy 40530  AVAB @ 112.27 #+15145554400
Buy 25300  AVAB @ 109.56 #+15145557348
Buy 57610  AVAB @ 107.8 #+15145550091
Sell 63800  AVAB @ 111.99 #+15145554833
Buy 68000  AVAB @ 108.88 #+15145553130
Buy 53110  AVAB @ 106.17 #+15145559429
Buy 37410  AVAB @ 108.26 #+15145559320
Sell 17860  AVAB @ 105.95 #+15145551659
Buy 14820  AVAB @ 104.38 #+15145552819
Buy 16480  AVAB @ 104.87 #+15145553661
Buy 34510  AVAB @ 101.08 #+15145555752
Sell 31660  AVAB @ 100.76 #+15145559193
Buy 24370  AVAB @ 98.99 #+15145550547
Sell 31750  AVAB @ 97.45 #+15145551994
Sell 48710  AVAB @ 96.23 #+15145557995
Buy 40060  AVAB @ 97.94 #+15145550480
Buy 45590  AVAB @ 96.41 #+15145553415
Buy 50970  AVAB @ 90.75 #+15145552040
Sell 43240  AVAB @ 91.91 #+15145555257
Buy 36410  AVAB @ 90.05 #+15145550271
Buy 12500  AVAB @ 94.56 #+15145556438
Buy 9460  AVAB @ 92.93 #+15145552678
Sell 12470  AVAB @ 92.76 #+15145552965
Sell 16170  AVAB @ 92.78 #+15145550729
Sell 17430  AVAB @ 92.58 #+15145554167
Buy 24880  AVAB @ 90.34 #+15145553015
Sell 28960  AVAB @ 90.79 #+15145559185
Buy 24490  AVAB @ 92.14 #+15145554459
Buy 22230  AVAB @ 90.75 #+15145550060
Sell 24610  AVAB @ 94.37 #+15145557633
Sell 14370  AVAB @ 95.61 #+15145555669
Buy 14630  AVAB @ 94.18 #+15145550046
Buy 15120  AVAB @ 95.33 #+15145559682
Buy 19560  AVAB @ 97.07 #+15145550348
Sell 29670  AVAB @ 96.09 #+15145556703
Sell 57300  AVAB @ 96.86 #+15145551886
Buy 26660  AVAB @ 98.04 #+15145559597
Buy 16630  AVAB @ 98.69 #+15145556952
Buy 9480  AVAB @ 96.72 #+15145551029
Sell 14010  AVAB @ 95.52 #+15145558055
Sell 6220  AVAB @ 94.84 #+15145558959
Sell 11680  AVAB @ 98.23 #+15145553675
Sell 9040  AVAB @ 99.67 #+15145557633
Buy 9760  AVAB @ 101.28 #+15145553441
Sell 11410  AVAB @ 101.47 #+15145552392
Sell 7560  AVAB @ 102.33 #+15145554261
Buy 11210  AVAB @ 101.4 #+15145551158
Buy 13990  AVAB @ 98.99 #+15145555692
Sell 12560  AVAB @ 98.54 #+15145555998
Sell 2770  AVAB @ 98.53 #+15145552337
Buy 1640  AVAB @ 100.62 #+15145551238
Buy 12220  AVAB @ 100.93 #+15145559731
Sell 15290  AVAB @ 102.14 #+15145553966
Sell 12040  AVAB @ 100.06 #+15145551245
Sell 15780  AVAB @ 106.3 #+15145556652
Sell 7680  AVAB @ 107.05 #+15145550163
Buy 7750  AVAB @ 107.45 #+15145551477
Buy 10630  AVAB @ 106.94 #+15145553722
Sell 3600  AVAB @ 108.01 #+15145559946
Sell 3780  AVAB @ 108.21 #+15145554843
Sell 7740  AVAB @ 109.3 #+15145559197
Buy 11240  AVAB @ 108.62 #+15145552796
Sell 10490  AVAB @ 103.61 #+15145554181
Buy 12360  AVAB @ 101.61 #+15145550102
Sell 7860  AVAB @ 100.43 #+15145554072
Buy 12800  AVAB @ 100.32 #+15145558586
Buy 4000  AVAB @ 100.62 #+15145558700
Sell 3380  AVAB @ 100.83 #+15145551155
Buy 4910  AVAB @ 101.12 #+15145557274
Sell 2600  AVAB @ 99.94 #+15145552672
Sell 9480  AVAB @ 95.88 #+15145554349
Sell 3100  AVAB @ 98.29 #+15145559323
Sell 3920  AVAB @ 99.41 #+15145552276
Sell 5660  AVAB @ 96.78 #+15145550768
Buy 11600  AVAB @ 97.38 #+15145553012
Buy 4700  AVAB @ 97.43 #+15145551063
Buy 8220  AVAB @ 97.78 #+15145555036
Buy 4780  AVAB @ 100.33 #+15145555927
Sell 4680  AVAB @ 102.41 #+15145557494
Sell 9400  AVAB @ 103.06 #+15145554304
Buy 3160  AVAB @ 103.48 #+15145558091
Sell 5160  AVAB @ 102.92 #+15145550463
Buy 11660  AVAB @ 105.42 #+15145553928
Buy 5840  AVAB @ 102.89 #+15145557875
Buy 10550  AVAB @ 103.29 #+15145552054
Sell 3500  AVAB @ 102.47 #+15145559316
Sell 7760  AVAB @ 97.17 #+15145553519
Buy 3760  AVAB @ 94.77 #+15145554035
Sell 9290  AVAB @ 94.42 #+15145550636
Buy 6910  AVAB @ 93.82 #+15145555170
Sell 6040  AVAB @ 95.56 #+15145558987
Sell 370  AVAB @ 95.07 #+15145552405
Buy 9250  AVAB @ 96.21 #+15145555205
Buy 4550  AVAB @ 98.21 #+15145558098
Buy 12190  AVAB @ 96.91 #+15145557535
Buy 11680  AVAB @ 95.72 #+15145551283
Sell 15870  AVAB @ 91.94 #+15145559582
Sell 17170  AVAB @ 89.77 #+15145552981
Buy 15220  AVAB @ 91.59 #+15145551329
Sell 9050  AVAB @ 92.76 #+15145559480
Buy 9350  AVAB @ 94.3 #+15145553124
Buy 6730  AVAB @ 94.33 #+15145558447
Buy 9620  AVAB @ 94.8 #+15145552569
Buy 13040  AVAB @ 95.46 #+15145552029
Sell 7370  AVAB @ 95.38 #+15145554713
Buy 5960  AVAB @ 97.71 #+15145556305
Buy 13600  AVAB @ 98.53 #+15145558770
Buy 6430  AVAB @ 99.31 #+15145557397
Sell 5580  AVAB @ 97.32 #+15145552134
Buy 9960  AVAB @ 97.97 #+15145554242
Buy 8460  AVAB @ 97.96 #+15145552181
Buy 3600  AVAB @ 100 #+15145553226
Buy 8790  AVAB @ 99.3 #+15145553241
Buy 6850  AVAB @ 98.52 #+15145559613
Sell 11400  AVAB @ 101.1 #+15145555297
Sell 13420  AVAB @ 99.7 #+15145552875
Buy 9970  AVAB @ 98.53 #+15145553580
Sell 9990  AVAB @ 96.53 #+15145556790
Sell 11570  AVAB @ 97.74 #+15145553629
Buy 5760  AVAB @ 96.66 #+15145554945
Sell 9960  AVAB @ 96.39 #+15145554509
Buy 13320  AVAB @ 93.18 #+15145557209
Sell 7220  AVAB @ 92.98 #+15145557677
Sell 12700  AVAB @ 93.88 #+15145553607
Buy 4170  AVAB @ 95.18 #+15145557761
Buy 12550  AVAB @ 93.56 #+15145555392
Buy 6390  AVAB @ 93.95 #+15145550870
Buy 9490  AVAB @ 92.5 #+15145557814
Buy 5890  AVAB @ 93.33 #+15145556467
Sell 9670  AVAB @ 93.82 #+15145552462
Buy 5500  AVAB @ 92.72 #+15145555275
Sell 11960  AVAB @ 94.36 #+15145552515
Sell 9780  AVAB @ 96.6 #+15145556832
Sell 7420  AVAB @ 95.65 #+15145553818
Sell 12690  AVAB @ 95.79 #+15145552761
Buy 3530  AVAB @ 96.61 #+15145551931
Buy 14030  AVAB @ 97 #+15145559375
Sell 9210  AVAB @ 97.28 #+15145550553
Buy 13890  AVAB @ 97.55 #+15145551392
Buy 17980  AVAB @ 99.93 #+15145554478
Buy 14230  AVAB @ 96.63 #+15145554367
Sell 8210  AVAB @ 97.57 #+15145559278
Buy 17420  AVAB @ 97.36 #+15145550472
Sell 14360  AVAB @ 98.84 #+15145551332
Sell 12240  AVAB @ 104.2 #+15145555616
Buy 11090  AVAB @ 102.77 #+15145553308
Buy 13240  AVAB @ 102.45 #+15145553063
Sell 7020  AVAB @ 102.28 #+15145556195
Sell 12080  AVAB @ 106.28 #+15145554045
Sell 7730  AVAB @ 103.33 #+15145558927
Sell 4510  AVAB @ 104.07 #+15145559280
Sell 14930  AVAB @ 101.83 #+15145554047
Buy 12010  AVAB @ 101.62 #+15145557135
Buy 8630  AVAB @ 104.37 #+15145556538
Sell 7150  AVAB @ 106.09 #+15145557183
Buy 11620  AVAB @ 102.82 #+15145558666
Buy 17610  AVAB @ 101.91 #+15145551020
Buy 7540  AVAB @ 103.26 #+15145557814
Buy 6900  AVAB @ 101.01 #+15145559369
Buy 12250  AVAB @ 102.2 #+15145553393
Buy 5060  AVAB @ 100.65 #+15145557771
Buy 12680  AVAB @ 101.29 #+15145559972
Sell 8650  AVAB @ 101.55 #+15145558457
Sell 13930  AVAB @ 102.88 #+15145556773
Sell 12500  AVAB @ 103.52 #+15145557755
Buy 11300  AVAB @ 100.25 #+15145551823
Buy 14030  AVAB @ 97.26 #+15145552144
Buy 17140  AVAB @ 101.56 #+15145558688
Sell 17280  AVAB @ 100.39 #+15145551038
Sell 10740  AVAB @ 99.08 #+15145556797
Buy 9870  AVAB @ 101.69 #+15145559655
Buy 4200  AVAB @ 104.82 #+15145557113
Sell 12080  AVAB @ 107.03 #+15145559093
Buy 14180  AVAB @ 107.54 #+15145552293
Buy 12960  AVAB @ 108.98 #+15145555453
Sell 12230  AVAB @ 109.47 #+15145554156
Sell 8970  AVAB @ 109.4 #+15145555802
Buy 7830  AVAB @ 108.93 #+15145550437
Buy 9240  AVAB @ 110.59 #+15145557507
Sell 4670  AVAB @ 112.52 #+15145558986
Sell 4040  AVAB @ 115.61 #+15145553386
Sell 8970  AVAB @ 119.99 #+15145553013
Buy 10170  AVAB @ 121.49 #+15145551306
Buy 21660  AVAB @ 122.43 #+15145554393
Sell 5870  AVAB @ 124.76 #+15145556000
Sell 12520  AVAB @ 126.59 #+15145550835
Sell 5610  AVAB @ 125.43 #+15145554928
Buy 8680  AVAB @ 124.66 #+15145554392
Sell 13610  AVAB @ 122.31 #+15145551287
Buy 8300  AVAB @ 125.8 #+15145551753
Sell 13110  AVAB @ 125.57 #+15145551290
Sell 11920  AVAB @ 122.17 #+15145553846
Sell 4250  AVAB @ 123.09 #+15145559984
Sell 3710  AVAB @ 121.74 #+15145550915
Buy 9050  AVAB @ 121.37 #+15145551560
Buy 14350  AVAB @ 122.91 #+15145551475
Buy 6040  AVAB @ 121.34 #+15145559247
Sell 4080  AVAB @ 117.07 #+15145553738
Buy 3010  AVAB @ 115.11 #+15145556294
Buy 5920  AVAB @ 114.84 #+15145551959
Sell 13590  AVAB @ 113.27 #+15145553893
Sell 9490  AVAB @ 115.38 #+15145552542
Sell 11580  AVAB @ 115.29 #+15145554731
Sell 6710  AVAB @ 112.58 #+15145558261
Sell 10540  AVAB @ 115.47 #+15145551618
Sell 11970  AVAB @ 113.35 #+15145555842
Buy 5220  AVAB @ 114.46 #+15145550979
Buy 8070  AVAB @ 113.37 #+15145554597
Sell 5430  AVAB @ 113.62 #+15145557203
Buy 7910  AVAB @ 113.52 #+15145552909
Buy 14930  AVAB @ 115.55 #+15145551559
Sell 13650  AVAB @ 120.01 #+15145555112
Sell 5560  AVAB @ 119.37 #+15145555050
Sell 9920  AVAB @ 120.61 #+15145556651
Buy 8830  AVAB @ 123.26 #+15145554061
Sell 12040  AVAB @ 125.21 #+15145554059
Buy 11940  AVAB @ 122.35 #+15145550479
Buy 15220  AVAB @ 119.13 #+15145557049
Buy 14120  AVAB @ 119.09 #+15145551018
Sell 15020  AVAB @ 119.22 #+15145559358
Sell 19390  AVAB @ 121.63 #+15145552242
Buy 15490  AVAB @ 126.36 #+15145553876
Buy 8990  AVAB @ 127.56 #+15145556770
Sell 7090  AVAB @ 129.81 #+15145550128
Sell 9400  AVAB @ 128.37 #+15145553115
Buy 9450  AVAB @ 129.56 #+15145555912
Sell 9580  AVAB @ 133.83 #+15145553184
Sell 6900  AVAB @ 131.89 #+15145553799
Buy 5350  AVAB @ 129.3 #+15145552961
Buy 7280  AVAB @ 133.83 #+15145559469
Sell 9630  AVAB @ 136.67 #+15145555011
Sell 3300  AVAB @ 141.3 #+15145557029
Sell 12650  AVAB @ 147.7 #+15145553003
Sell 7240  AVAB @ 143.91 #+15145559397
Buy 11720  AVAB @ 151.02 #+15145555234
Buy 9340  AVAB @ 144.19 #+15145550028
Sell 11330  AVAB @ 135.16 #+15145556738
Buy 13950  AVAB @ 131.65 #+15145555590
Sell 7830  AVAB @ 132.34 #+15145558838
Sell 5330  AVAB @ 135.72 #+15145555409
Buy 5310  AVAB @ 136.68 #+15145558024
Buy 10400  AVAB @ 137.37 #+15145558277
Buy 12170  AVAB @ 136.64 #+15145554152
Sell 7740  AVAB @ 130.75 #+15145555585
Sell 14490  AVAB @ 134.23 #+15145550017
Buy 10370  AVAB @ 137.81 #+15145558946
Buy 6480  AVAB @ 134.71 #+15145552649
Sell 10900  AVAB @ 134.25 #+15145551704
Buy 22960  AVAB @ 130.19 #+15145552069
Sell 4970  AVAB @ 134.51 #+15145555297
Sell 13520  AVAB @ 131.27 #+15145559164
Buy 11570  AVAB @ 132.58 #+15145559760
Sell 13730  AVAB @ 136.43 #+15145555979
Buy 16510  AVAB @ 134.85 #+15145555015
Sell 14790  AVAB @ 134.54 #+15145558724
Buy 10610  AVAB @ 130.99 #+15145559996
Sell 13970  AVAB @ 131.69 #+15145556589
Buy 15540  AVAB @ 133.05 #+15145551961
Buy 11380  AVAB @ 125.82 #+15145550169
Sell 8370  AVAB @ 126.75 #+15145555792
Buy 6300  AVAB @ 128.81 #+15145558953
Sell 9710  AVAB @ 130.11 #+15145558793
Buy 14200  AVAB @ 131.85 #+15145557765
Buy 7540  AVAB @ 129.55 #+15145550663
Buy 7950  AVAB @ 131.23 #+15145558845
Buy 4970  AVAB @ 132.96 #+15145559487
Buy 7230  AVAB @ 136.39 #+15145558479
Sell 18650  AVAB @ 132.42 #+15145558594
Buy 14530  AVAB @ 130.93 #+15145551007
Sell 8290  AVAB @ 129.77 #+15145556881
Buy 5230  AVAB @ 138.26 #+15145558769
Sell 13480  AVAB @ 144.65 #+15145554844
Sell 12810  AVAB @ 138.9 #+15145559710
Buy 11430  AVAB @ 138.23 #+15145550713
Sell 13660  AVAB @ 139.41 #+15145559764
Sell 12150  AVAB @ 140.75 #+15145550423
Buy 6990  AVAB @ 137.38 #+15145553775
Sell 6740  AVAB @ 133.42 #+15145552930
Buy 10710  AVAB @ 140.68 #+15145559429
Sell 17190  AVAB @ 139.03 #+15145558078
Buy 10690  AVAB @ 145.53 #+15145557952
Sell 5200  AVAB @ 147.27 #+15145551089
Buy 4660  AVAB @ 150.02 #+15145552726
Buy 2420  AVAB @ 154.54 #+15145553441
Buy 9230  AVAB @ 159.28 #+15145550437
Sell 16510  AVAB @ 160.44 #+15145554197
Buy 11030  AVAB @ 160.36 #+15145556596
Buy 17060  AVAB @ 162.2 #+15145550603
Sell 6540  AVAB @ 168.88 #+15145557948
Buy 5740  AVAB @ 165.79 #+15145558593
Buy 6790  AVAB @ 167.22 #+15145550759
Buy 7900  AVAB @ 165.59 #+15145550064
Sell 7740  AVAB @ 162.79 #+15145557115
Buy 10520  AVAB @ 160.44 #+15145550768
Buy 5310  AVAB @ 158.25 #+15145552665
Sell 11960  AVAB @ 154.79 #+15145558036
Buy 9840  AVAB @ 149.78 #+15145558535
Buy 13210  AVAB @ 152.72 #+15145554280
Sell 8580  AVAB @ 159.53 #+15145559178
Buy 14560  AVAB @ 159.23 #+15145557130
Sell 9440  AVAB @ 155.65 #+15145550752
Buy 13080  AVAB @ 159.62 #+15145553163
Buy 9490  AVAB @ 156.68 #+15145551698
Sell 14020  AVAB @ 152.54 #+15145552462
Buy 29060  AVAB @ 154.92 #+15145559028
Sell 17660  AVAB @ 157.13 #+15145555189
Buy 22330  AVAB @ 155.27 #+15145550340
Buy 24100  AVAB @ 154.96 #+15145556130
Sell 23000  AVAB @ 154.5 #+15145554949
Sell 18100  AVAB @ 151.02 #+15145558030
Buy 14440  AVAB @ 153.73 #+15145554282
Buy 11270  AVAB @ 157.4 #+15145557732
Sell 21390  AVAB @ 154.05 #+15145557839
Buy 11520  AVAB @ 150.42 #+15145558983
Sell 8090  AVAB @ 157.31 #+15145556530
Sell 16210  AVAB @ 164.46 #+15145559548
Sell 16480  AVAB @ 159.46 #+15145556237
Buy 20830  AVAB @ 166.38 #+15145559796
Buy 17940  AVAB @ 164.9 #+15145551815
Buy 26120  AVAB @ 166.55 #+15145553771
Sell 17890  AVAB @ 169.55 #+15145558082
Buy 8370  AVAB @ 172.59 #+15145551930
Buy 6800  AVAB @ 171 #+15145551478
Buy 8510  AVAB @ 168.07 #+15145556235
Sell 9100  AVAB @ 163.26 #+15145551431
Buy 11760  AVAB @ 161.98 #+15145556574
Buy 13050  AVAB @ 160.5 #+15145554710
Sell 10070  AVAB @ 162.55 #+15145555946
Buy 11270  AVAB @ 160.11 #+15145554694
Buy 9380  AVAB @ 162.86 #+15145558123
Buy 11660  AVAB @ 162.84 #+15145556364
Buy 4240  AVAB @ 162.33 #+15145553366
Buy 10640  AVAB @ 161.72 #+15145557818
Sell 8350  AVAB @ 163.53 #+15145552799
Sell 11450  AVAB @ 160.94 #+15145555535
Sell 14600  AVAB @ 157.57 #+15145555941
Buy 6900  AVAB @ 149.64 #+15145550304
Sell 7090  AVAB @ 149.83 #+15145554348
Sell 14440  AVAB @ 151.19 #+15145558117
Sell 8740  AVAB @ 155.44 #+15145551898
Sell 12640  AVAB @ 157.72 #+15145558265
Sell 11200  AVAB @ 154.38 #+15145551697
Buy 12440  AVAB @ 158.87 #+15145558769
Buy 17270  AVAB @ 156.44 #+15145555874
Buy 15030  AVAB @ 156.48 #+15145559424
Buy 15150  AVAB @ 155.03 #+15145552164
Buy 12340  AVAB @ 155.67 #+15145550838
Sell 8920  AVAB @ 156.25 #+15145558437
Buy 7470  AVAB @ 157.87 #+15145555220
Sell 7950  AVAB @ 153.77 #+15145552823
Buy 11950  AVAB @ 152.31 #+15145553107
Buy 10160  AVAB @ 148.98 #+15145554780
Buy 12950  AVAB @ 151.58 #+15145557104
Sell 6720  AVAB @ 148.55 #+15145552181
Buy 17430  AVAB @ 146.79 #+15145554665
Sell 9980  AVAB @ 143.34 #+15145558011
Buy 13430  AVAB @ 148.5 #+15145558735
Sell 7780  AVAB @ 148.77 #+15145558301
Sell 16460  AVAB @ 151.8 #+15145553355
Sell 20910  AVAB @ 148.96 #+15145557261
Buy 25170  AVAB @ 145.03 #+15145552259
Sell 16110  AVAB @ 145.11 #+15145558830
Buy 10180  AVAB @ 140.97 #+15145550042
Buy 9160  AVAB @ 139.67 #+15145551480
Sell 20820  AVAB @ 135.42 #+15145555949
Sell 16340  AVAB @ 141.9 #+15145554111
Buy 16360  AVAB @ 143.05 #+15145551666
Sell 27530  AVAB @ 142.14 #+15145553196
Sell 23040  AVAB @ 142.56 #+15145553156
Buy 23300  AVAB @ 138.63 #+15145550769
Buy 14140  AVAB @ 142.81 #+15145552261
Buy 13160  AVAB @ 139.6 #+15145550497
Sell 8110  AVAB @ 138.92 #+15145556962
Sell 18620  AVAB @ 134.75 #+15145558469
Sell 22890  AVAB @ 139.15 #+15145557788
Sell 17010  AVAB @ 137.41 #+15145554675
Sell 15420  AVAB @ 137.94 #+15145551448
Sell 12810  AVAB @ 139.65 #+15145550383
Buy 4910  AVAB @ 135.77 #+15145551390
Buy 15270  AVAB @ 135.47 #+15145558068
Sell 11080  AVAB @ 133.22 #+15145551113
Sell 14200  AVAB @ 134.02 #+15145556078
Sell 20830  AVAB @ 134.63 #+15145553701
Buy 30120  AVAB @ 134.49 #+15145556012
Buy 17490  AVAB @ 132.76 #+15145550260
Buy 9000  AVAB @ 128.69 #+15145554517
Buy 9220  AVAB @ 128.01 #+15145551573
Sell 6510  AVAB @ 128.19 #+15145551252
Buy 11440  AVAB @ 131.8 #+15145558405
Buy 6980  AVAB @ 129.46 #+15145550704
Sell 8240  AVAB @ 129.42 #+15145557753
Buy 9680  AVAB @ 129.73 #+15145556288
Sell 11710  AVAB @ 129.85 #+15145554160
Buy 15500  AVAB @ 129.81 #+15145555018
Sell 14410  AVAB @ 127.19 #+15145558269
Sell 16740  AVAB @ 132.24 #+15145558378
Sell 26780  AVAB @ 134.15 #+15145551726
Sell 10230  AVAB @ 133.21 #+15145555025
Buy 18390  AVAB @ 138.03 #+15145558079
Buy 9960  AVAB @ 142.07 #+15145551647
Buy 7580  AVAB @ 141.51 #+15145559445
Buy 5600  AVAB @ 137.89 #+15145557752
Sell 6900  AVAB @ 132.4 #+15145550137
Buy 9540  AVAB @ 132.31 #+15145552714
Sell 11210  AVAB @ 135.37 #+15145555889
Buy 11950  AVAB @ 134.71 #+15145551388
Buy 10310  AVAB @ 134.5 #+15145553505
Buy 2980  AVAB @ 134.3 #+15145559702
Sell 14790  AVAB @ 131.98 #+15145559211
Buy 6800  AVAB @ 133.9 #+15145551223
Sell 5980  AVAB @ 139.18 #+15145555893
Sell 12450  AVAB @ 138.12 #+15145557833
Buy 16190  AVAB @ 135.97 #+15145554102
Sell 18080  AVAB @ 138.01 #+15145557005
Buy 13310  AVAB @ 138.96 #+15145557765
Sell 7870  AVAB @ 139.43 #+15145558468
Buy 12370  AVAB @ 135.28 #+15145553132
Sell 6750  AVAB @ 134.16 #+15145556400
Buy 15320  AVAB @ 129.67 #+15145556222
Buy 9650  AVAB @ 128.55 #+15145553970
Buy 9330  AVAB @ 124.7 #+15145550777
Sell 12850  AVAB @ 120.97 #+15145552908
Buy 11810  AVAB @ 125.71 #+15145558096
Sell 12610  AVAB @ 122.87 #+15145551549
Buy 10290  AVAB @ 128.77 #+15145551559
Buy 9990  AVAB @ 128.45 #+15145555661
Sell 12890  AVAB @ 127.53 #+15145550886
Buy 9420  AVAB @ 128.01 #+15145551480
Sell 9500  AVAB @ 126.31 #+15145557988
Sell 7820  AVAB @ 122.56 #+15145555181
Sell 13340  AVAB @ 121.65 #+15145557211
Buy 10900  AVAB @ 125.17 #+15145555845
Sell 11330  AVAB @ 126.44 #+15145556126
Sell 14650  AVAB @ 129.31 #+15145554185
Sell 10990  AVAB @ 130.21 #+15145555748
Buy 13780  AVAB @ 127.78 #+15145554244
Buy 16000  AVAB @ 123.75 #+15145559976
Buy 12990  AVAB @ 124.39 #+15145550028
Buy 14520  AVAB @ 127.92 #+15145555847
Sell 10640  AVAB @ 126.89 #+15145552955
Sell 13880  AVAB @ 123.05 #+15145553867
Buy 17780  AVAB @ 122.53 #+15145556505
Sell 21440  AVAB @ 120.69 #+15145559403
Buy 17070  AVAB @ 119.84 #+15145550624
Sell 8410  AVAB @ 120.74 #+15145553022
Sell 23230  AVAB @ 121.55 #+15145559062
Buy 22370  AVAB @ 120.62 #+15145550361
Buy 7380  AVAB @ 124.95 #+15145554790
Buy 13240  AVAB @ 124.11 #+15145559019
Sell 10150  AVAB @ 123.71 #+15145555542
Sell 12510  AVAB @ 127.27 #+15145552425
Sell 6970  AVAB @ 124.8 #+15145559118
Sell 5580  AVAB @ 127.29 #+15145557351
Buy 13450  AVAB @ 121.93 #+15145551237
Buy 9000  AVAB @ 119.4 #+15145550913
Buy 6130  AVAB @ 119.41 #+15145556897
Buy 8700  AVAB @ 122.68 #+15145550086
Buy 10840  AVAB @ 123.19 #+15145556116
Sell 10730  AVAB @ 123.43 #+15145557277
Sell 8500  AVAB @ 124.61 #+15145559886
Sell 10640  AVAB @ 125.35 #+15145556496
Sell 7770  AVAB @ 124.86 #+15145550169
Sell 14430  AVAB @ 126.38 #+15145553986
Sell 17300  AVAB @ 122.2 #+15145554523
Buy 11110  AVAB @ 120.58 #+15145559707
Buy 15350  AVAB @ 120.72 #+15145554000
Buy 5890  AVAB @ 120.76 #+15145559419
Sell 9250  AVAB @ 120.08 #+15145557015
Buy 9740  AVAB @ 118.87 #+15145556310
Sell 4690  AVAB @ 116.35 #+15145553936
Sell 3810  AVAB @ 113.08 #+15145555340
Sell 10040  AVAB @ 112.82 #+15145557001
Buy 10520  AVAB @ 112.85 #+15145556957
Buy 6380  AVAB @ 113.32 #+15145556133
Sell 5530  AVAB @ 116.49 #+15145556371
Sell 14800  AVAB @ 117.15 #+15145554922
Buy 8270  AVAB @ 119.81 #+15145558738
Sell 13480  AVAB @ 118.71 #+15145559993
Buy 14530  AVAB @ 119.74 #+15145550082
Sell 15320  AVAB @ 119.21 #+15145556413
Sell 14370  AVAB @ 124.52 #+15145558863
Sell 6960  AVAB @ 126.59 #+15145557452
Buy 6750  AVAB @ 126.44 #+15145553094
Buy 12480  AVAB @ 132.45 #+15145559052
Sell 12650  AVAB @ 132.41 #+15145554596
Buy 12660  AVAB @ 129 #+15145555928
Buy 14200  AVAB @ 130.03 #+15145553769
Buy 11320  AVAB @ 125.52 #+15145551625
Sell 8650  AVAB @ 127.31 #+15145551864
Sell 10630  AVAB @ 132.39 #+15145557692
Sell 16340  AVAB @ 138.84 #+15145556199
Sell 12900  AVAB @ 135.1 #+15145554569
Sell 19490  AVAB @ 134.98 #+15145550834
Buy 15280  AVAB @ 135.02 #+15145550979
Sell 3550  AVAB @ 130.87 #+15145550740
Sell 7440  AVAB @ 132 #+15145551616
Buy 7800  AVAB @ 128.76 #+15145551110
Buy 9570  AVAB @ 124.16 #+15145553318
Sell 15970  AVAB @ 126.94 #+15145551124
Buy 16760  AVAB @ 126.29 #+15145554078
Sell 16840  AVAB @ 121.34 #+15145554341
Buy 22200  AVAB @ 125.65 #+15145552591
Buy 21440  AVAB @ 126.07 #+15145555887
Buy 15480  AVAB @ 122.65 #+15145558582
Sell 5770  AVAB @ 120.46 #+15145550260
Buy 10910  AVAB @ 117.88 #+15145551300
Buy 12340  AVAB @ 118.95 #+15145559551
Sell 14310  AVAB @ 118.04 #+15145554970
Sell 10660  AVAB @ 111.47 #+15145556525
Buy 9830  AVAB @ 112.38 #+15145558363
Sell 8630  AVAB @ 112.12 #+15145558481
Sell 9360  AVAB @ 111.58 #+15145558459
Sell 8560  AVAB @ 110.11 #+15145557201
Buy 17050  AVAB @ 103.69 #+15145552057
Buy 12000  AVAB @ 107.36 #+15145556600
Sell 9120  AVAB @ 106.18 #+15145551690
Sell 8340  AVAB @ 109.27 #+15145553942
Sell 6950  AVAB @ 109.35 #+15145556634
Sell 11060  AVAB @ 111.92 #+15145556701
Sell 14020  AVAB @ 110.84 #+15145555789
Sell 11690  AVAB @ 110.36 #+15145554045
Buy 9610  AVAB @ 112.33 #+15145552244
Buy 12840  AVAB @ 112.54 #+15145557975
Buy 16800  AVAB @ 116.96 #+15145559259
Buy 6060  AVAB @ 118.01 #+15145553551
Buy 9040  AVAB @ 117.74 #+15145550765
Buy 8190  AVAB @ 115.78 #+15145557228
Buy 19670  AVAB @ 118.63 #+15145555348
Buy 16400  AVAB @ 117.24 #+15145552420
Sell 10100  AVAB @ 115.07 #+15145552788
Sell 9380  AVAB @ 116.39 #+15145555048
Buy 9990  AVAB @ 118.59 #+15145550328
Buy 10570  AVAB @ 120.52 #+15145551561
Sell 16190  AVAB @ 123.66 #+15145559453
